Arrests by Offense,Norfolk,
,Adult,Juvenile
Murder,14,0
Manslaughter,0,0
Kidnaping,28,2
"Sex Offenses, Forcible",73,12
Robbery,89,27
Aggravated Assault,71,16
Simple Assault/Intimidation,851,46
Arson,2,0
Extortion/Blackmail,0,0
Burglary,59,38
Larceny,570,95
Motor Vehicle Theft,2,7
Counterfeiting/Forgery,42,0
Fraud,128,0
Embezzlement,21,0
Stolen Property,69,5
Vandalism,60,11
Drug/Narcotic Offenses,876,31
"Sex Offenses, Nonforcible",3,1
Pornography,19,0
Gambling,7,0
Prostitution,176,0
Bribery,0,0
Weapon Law Violations,126,6
TOTAL GROUP A,3286,297
Bad Checks,111,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,1066,121
Driving Under Influence,539,1
Drunkenness,1683,8
"Family Offenses, Nonforcible",200,0
Liquor Laws Violations,619,16
Peeping Tom,0,0
Runaway,0,116
Trespass of Real Property,932,79
Conspiracy,0,0
All Other (except Traffic),6509,1615
TOTAL GROUP B,11659,1956
GRAND TOTAL,14945,2253
