Arrests by Offense,Total County,
,Adult,Juvenile
Murder,91,9
Manslaughter,3,0
Kidnaping,385,26
"Sex Offenses, Forcible",534,171
Robbery,674,150
Aggravated Assault,2092,337
Simple Assault/Intimidation,15171,2565
Arson,133,118
Extortion/Blackmail,17,8
Burglary,1764,694
Larceny,8110,2186
Motor Vehicle Theft,537,105
Counterfeiting/Forgery,1287,38
Fraud,1727,76
Embezzlement,937,85
Stolen Property,375,94
Vandalism,1696,999
Drug/Narcotic Offenses,12867,1475
"Sex Offenses, Nonforcible",80,10
Pornography,48,2
Gambling,28,2
Prostitution,117,0
Bribery,5,0
Weapon Law Violations,1514,365
TOTAL GROUP A,50192,9515
Bad Checks,3779,6
Curfew/Loitering/Vagrancy,15,881
Disorderly Conduct,1879,965
Driving Under Influence,14968,132
Drunkenness,10714,129
"Family Offenses, Nonforcible",489,4
Liquor Laws Violations,2554,939
Peeping Tom,33,4
Runaway,1,3011
Trespass of Real Property,2309,471
Conspiracy,106,10
All Other (except Traffic),39740,3025
TOTAL GROUP B,76587,9577
GRAND TOTAL,126779,19092
