Arrests by Offense,Radford,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",3,0
Robbery,4,0
Aggravated Assault,24,0
Simple Assault/Intimidation,133,2
Arson,1,0
Extortion/Blackmail,1,0
Burglary,12,0
Larceny,60,3
Motor Vehicle Theft,5,1
Counterfeiting/Forgery,10,0
Fraud,15,0
Embezzlement,3,0
Stolen Property,8,1
Vandalism,27,0
Drug/Narcotic Offenses,175,3
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,10,0
TOTAL GROUP A,495,10
Bad Checks,121,1
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,50,0
Driving Under Influence,127,0
Drunkenness,139,0
"Family Offenses, Nonforcible",3,0
Liquor Laws Violations,494,15
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,21,1
Conspiracy,1,0
All Other (except Traffic),275,3
TOTAL GROUP B,1232,20
GRAND TOTAL,1727,30
