Arrests by Offense,Dinwiddie,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,3,0
"Sex Offenses, Forcible",3,1
Robbery,7,0
Aggravated Assault,15,8
Simple Assault/Intimidation,20,1
Arson,0,0
Extortion/Blackmail,0,0
Burglary,9,5
Larceny,18,7
Motor Vehicle Theft,5,0
Counterfeiting/Forgery,7,0
Fraud,5,0
Embezzlement,3,0
Stolen Property,1,0
Vandalism,5,3
Drug/Narcotic Offenses,31,1
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,8,0
TOTAL GROUP A,141,26
Bad Checks,3,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,3,0
Driving Under Influence,45,1
Drunkenness,24,3
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,2,0
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,5,0
Conspiracy,0,0
All Other (except Traffic),82,17
TOTAL GROUP B,164,22
GRAND TOTAL,305,48
