Arrests by Offense,Bristol,
,Adult,Juvenile
Murder,3,0
Manslaughter,1,0
Kidnaping,1,0
"Sex Offenses, Forcible",12,0
Robbery,8,0
Aggravated Assault,35,1
Simple Assault/Intimidation,145,5
Arson,1,0
Extortion/Blackmail,1,0
Burglary,25,2
Larceny,120,0
Motor Vehicle Theft,3,0
Counterfeiting/Forgery,30,0
Fraud,22,0
Embezzlement,12,0
Stolen Property,9,0
Vandalism,19,2
Drug/Narcotic Offenses,208,6
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,3,0
Prostitution,6,0
Bribery,0,0
Weapon Law Violations,11,1
TOTAL GROUP A,675,17
Bad Checks,26,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,22,4
Driving Under Influence,144,0
Drunkenness,472,0
"Family Offenses, Nonforcible",15,0
Liquor Laws Violations,15,5
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,50,3
Conspiracy,14,0
All Other (except Traffic),808,33
TOTAL GROUP B,1566,45
GRAND TOTAL,2241,62
