Arrests by Offense,College/University,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",7,0
Robbery,2,4
Aggravated Assault,10,0
Simple Assault/Intimidation,61,2
Arson,0,0
Extortion/Blackmail,0,0
Burglary,6,2
Larceny,79,0
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,29,0
Fraud,10,0
Embezzlement,5,0
Stolen Property,6,0
Vandalism,31,0
Drug/Narcotic Offenses,266,9
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,11,0
TOTAL GROUP A,523,17
Bad Checks,3,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,98,1
Driving Under Influence,429,2
Drunkenness,762,2
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,1192,44
Peeping Tom,2,0
Runaway,0,0
Trespass of Real Property,311,3
Conspiracy,0,0
All Other (except Traffic),543,6
TOTAL GROUP B,3341,58
GRAND TOTAL,3864,75
