Statistic Detail,Total
Total Number of Dispatched Calls/Telephone Calls,730
Total Number of Incidents (Reportable/Non-Reportable),384
Total Number of Misdemeanor Arrests,13
Total Number of Citations Issued,22
Total Number of Felony Arrests,3
Total Number of Criminal/Civil Papers,20
