Location,Number of Offenses
Air/Bus/Train Terminal,524
Bank/Savings & Loan,495
Bar/Night Club,728
Church/Synagogue/Temple,708
Commercial/Office Building ,5047
Construction Site,2374
Convenience Store,6341
Department/Discount Store,14068
Drug Store/Dr Office/Hospital,2012
Field/Woods,1006
Government/Public Building,1171
Grocery/Supermarket,4851
Highway/Road/Alley,11202
Hotel/Motel/Etc.,1798
Jail/Penitentiary,52
Lake/Waterway,287
Liquor Store,493
Parking Lot/Garage,19733
Rental/Storage Facility,384
Residence/Home,47072
Restaurant,2701
School/College,7109
Service/Gas Station,3981
Specialty Store,4622
Other/Unknown,9439
TOTAL,148198
