Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
OTHER AGENCIES,,,,
Alcoholic Bev. Control,131,108,23,39
Ches. Bay Brdg. Tunnel PD,38,36,2,39
Division of Capitol Police,74,64,10,14
Dept of Conservation & Rec.,112,100,12,147
Southside Va. Trng Center,17,16,1,4
Richmond Int’l Airport,32,28,4,
Va. Port Authority,81,70,11,7
Norfolk Airport Authority,37,34,3,7
Metro. Wash.Airport Auth.,172,141,31,64
Virginia State Police,1973,1867,106,680
OTHER AGENCY TOTAL,2667,2464,203,1001
