COUNTY POLICE & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Albemarle County PD,93601,4786.27,4480,1,16,24,37,46,84,1007,26,3,313,1678,93,36,322,58,12,1180,455,7,6,0,5,0,71
State Police,,,50,0,0,0,0,0,3,3,0,0,0,6,0,1,12,0,0,2,24,0,0,0,0,0,4
Arlington County PD,201163,4115.07,8278,2,27,26,89,154,150,894,5,2,396,3541,302,154,855,92,59,1535,602,1,3,0,25,0,70
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chesterfield County PD,298721,5913.54,17665,10,69,71,196,329,275,5111,105,3,1644,5432,516,263,1132,211,56,4714,1429,7,18,0,76,1,502
State Police,,,270,0,0,0,2,0,11,3,0,0,1,11,3,10,52,0,2,6,226,0,0,0,0,0,16
Fairfax County PD,975762,4046.78,39487,15,421,69,120,489,304,7888,138,14,1391,14434,1241,320,2494,277,454,10599,2511,1,40,6,112,2,711
State Police,,,241,0,0,0,1,0,10,12,0,0,0,17,16,6,33,3,4,10,137,0,0,0,0,1,8
Henrico County PD,289788,6271.82,18175,17,146,34,26,380,215,3551,123,2,1431,7751,567,331,647,205,44,4209,1257,3,4,1,27,0,309
State Police,,,125,0,0,0,0,1,0,2,0,0,1,11,4,5,45,0,0,1,72,0,1,0,0,0,4
James City County PD,61739,3992.61,2465,2,14,11,45,16,63,675,18,2,161,663,49,48,188,44,12,558,221,2,1,0,1,0,51
State Police,,,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,1
Prince George County PD,36647,3339.97,1224,0,12,11,24,16,30,262,8,2,68,325,47,20,77,7,5,275,170,3,3,0,7,0,19
State Police,,,27,0,0,0,0,0,1,1,0,0,0,3,0,1,2,0,1,1,18,0,0,0,0,0,2
Prince William County PD,364459,4514.63,16454,9,55,23,97,279,323,3074,107,3,1014,5560,623,240,904,201,60,3131,1602,16,8,2,10,0,323
State Police,,,222,0,1,0,2,1,8,2,0,0,1,9,5,6,31,0,2,8,147,0,0,0,0,0,17
Roanoke County PD,82997,3682.06,3056,1,21,23,37,24,149,827,14,1,259,844,45,128,369,31,4,269,557,2,8,0,0,0,70
State Police,,,27,0,0,0,0,0,0,1,0,0,0,2,0,0,13,1,0,2,7,0,0,0,0,0,1
