Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unk
Monday,104,31,21,25,60,63,60,68,51,51,57,44,118
Tuesday,75,34,16,20,65,62,61,85,60,48,45,44,118
Wednesday,60,29,7,21,53,54,54,69,49,61,53,53,96
Thursday,83,23,7,19,60,53,78,68,57,44,44,53,126
Friday,89,30,13,21,70,51,76,56,68,59,64,70,113
Saturday,128,60,31,25,46,30,49,41,36,53,66,77,101
Sunday,116,62,35,17,48,35,40,27,34,47,37,43,85
TOTAL,655,269,130,148,402,348,418,414,355,363,366,384,757
