Group B Offense Categories,Total,White,Black,American Indian/Alaskan Native,Asian/Pacific Islander
Bad Checks ,5291,3929,1345,0,17
Curfew/Loitering/Vagrancy Violations ,2738,1474,1244,1,19
Disorderly Conduct ,7197,3294,3854,4,45
Driving Under the Influence ,25640,20563,4739,35,303
Drunkenness ,30365,22638,7514,31,182
"Family Offenses, Nonviolent ",1685,707,971,1,6
Liquor Law Violations ,12178,9763,2214,13,188
Peeping Tom ,63,43,20,,
Runaway ,5756,2628,3070,2,56
Trespass of Real Property ,10217,4228,5920,3,66
Conspiracy to Commit Group A Offense ,107,74,33,,
Conspiracy to Commit Group B Offense ,35,22,13,,
All Other Offenses (except most traffic) ,98997,55251,42961,69,716
Total ,200269,124614,73898,159,1598
