,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
Murder/Nonnegligent Manslaughter,33,19,13,15,18,15,8,47,18,17,22,15,6,8,2,0,256
Negligent Manslaughter,1,1,0,1,0,1,1,3,0,1,1,1,0,0,1,0,12
Kidnaping/Abduction,56,56,49,46,49,54,23,183,107,91,77,47,32,14,3,3,890
Forcible Rape,12,19,14,17,13,12,15,48,52,49,24,18,16,9,3,4,325
Forcible Sodomy,4,8,7,3,3,2,2,12,21,20,9,12,4,2,0,4,113
Sexual Assault with an Object,2,3,2,3,2,1,6,11,18,5,13,8,4,3,2,3,86
Forcible Fondling,17,20,20,17,7,17,9,78,57,55,52,49,36,27,21,23,505
Robbery,211,198,156,117,87,82,60,214,137,118,82,62,27,11,3,4,1569
Aggravated Assault,245,222,222,218,204,194,166,713,472,462,414,324,175,93,29,41,4194
Simple Assault,1142,1166,1258,1384,1369,1270,1190,5510,4097,3948,3751,2761,1485,705,331,366,31733
Intimidation,70,60,70,63,60,53,48,233,173,186,187,137,68,52,20,25,1505
Arson,18,7,14,5,7,5,1,28,17,12,16,12,11,6,3,1,163
Extortion/Blackmail,1,2,1,1,0,0,0,1,1,7,5,1,1,1,0,0,22
Burglary/B & E,412,285,242,200,181,120,127,490,357,270,258,189,70,17,20,9,3247
Pocket Picking,23,17,7,7,12,9,8,21,25,25,11,16,11,3,1,2,198
Purse Snatching,0,2,1,1,1,3,0,8,2,3,2,1,1,1,0,1,27
Shoplifting,888,780,606,471,364,326,286,1149,817,834,749,636,346,183,71,65,8571
Theft from Building,44,35,14,42,25,20,12,79,61,58,70,33,16,11,3,4,527
Theft from Coin-Operated Machine or Device,0,1,3,3,1,3,0,9,7,3,2,1,0,1,0,0,34
Theft from Motor Vehicle,38,22,20,42,19,8,17,51,23,32,30,15,15,3,2,0,337
Theft of Motor Vehicle Parts,9,9,3,3,11,4,6,13,11,10,16,8,4,1,0,0,108
All Other Larceny,767,617,538,497,421,385,336,1383,997,973,954,710,369,181,74,42,9244
Motor Vehicle Theft,77,54,60,51,43,27,28,103,84,108,75,48,24,14,4,0,800
Counterfeiting/Forgery,67,114,84,86,98,93,124,601,312,235,231,141,52,23,9,4,2274
False Pretenses/Swindle/Confidence Game,79,79,80,92,95,94,78,438,344,352,282,220,119,53,24,16,2445
Credit Card/Automatic Teller Machine Fraud,26,37,41,19,14,15,14,68,51,45,49,38,7,7,1,2,434
Impersonation,28,56,67,22,25,28,19,113,67,56,51,32,14,8,2,2,590
Welfare Fraud,0,0,0,0,1,0,3,7,9,5,5,2,0,3,1,1,37
Wire Fraud,0,1,2,0,0,0,0,1,0,5,0,1,1,0,0,1,12
Embezzlement,169,134,124,116,97,75,65,264,224,199,167,99,45,29,10,4,1821
Stolen Property Offenses,103,73,61,58,33,42,35,151,81,69,63,31,25,9,3,1,838
Destruct/Damage/Vandalism,353,300,278,200,230,158,148,561,345,279,239,183,118,42,22,28,3484
Drug/Narcotic Violations,2551,2549,2385,2154,1923,1640,1486,5632,3146,2643,2435,1950,1110,426,150,72,32252
Drug Equipment Violations,18,21,20,8,10,13,7,38,32,40,26,35,19,5,2,0,294
Incest,0,0,0,0,0,0,1,0,2,1,0,1,1,0,0,2,8
Statutory Rape,17,12,12,11,4,4,4,14,12,8,1,1,0,0,0,0,100
Porno./Obscene Material,3,3,1,4,2,3,3,11,15,10,29,5,3,1,2,1,96
Betting/Wagering,5,5,3,2,3,4,7,9,9,14,6,5,2,2,0,2,78
Operating/Promoting/Assisting Gambling,0,0,0,1,0,2,0,3,1,2,2,0,2,5,1,6,25
Gambling Equip. Violations,0,0,0,0,1,0,0,0,2,19,0,1,1,20,0,41,85
Sports Tampering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prostitution,11,12,9,17,16,18,14,63,55,81,74,65,33,11,2,7,488
Assisting/Promoting Prostitution,3,3,0,3,3,4,3,22,29,24,19,24,11,6,3,3,160
Bribery,0,0,0,0,1,2,1,1,1,1,1,0,1,0,0,0,9
Weapon Law Violations,248,220,182,273,248,206,173,576,314,237,213,177,118,81,40,56,3362
Total Group A Arrests,7751,7222,6669,6273,5701,5012,4534,18960,12605,11612,10713,8115,4403,2077,865,846,113358
