Colleges and Universities,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Christopher Newport University PD ,,,237,0,0,0,1,0,3,13,1,0,7,141,3,0,10,0,2,57,41,0,1,0,0,0,3
Emory & Henry Campus PD ,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ferrum College PD ,,,67,0,0,0,0,0,1,9,7,0,7,20,0,0,0,0,0,22,14,0,0,0,0,0,1
George Mason University PD ,,,387,0,0,2,7,1,2,33,4,0,8,308,2,2,20,1,1,81,81,0,0,0,0,0,5
Hampton University PD ,,,133,0,0,0,0,3,1,7,0,0,23,142,1,0,16,0,0,30,0,0,0,0,0,0,0
J. Sargeant Reynolds Community College PD 9 ,,,65,0,0,0,1,0,0,4,0,0,0,16,0,1,0,0,0,29,1,0,0,0,0,0,0
James Madison University PD ,,,453,0,0,1,0,0,2,21,0,0,4,167,0,0,9,0,0,163,41,0,1,0,0,0,0
Longwood University PD ,,,92,0,0,2,0,1,0,7,1,0,6,97,1,0,0,0,0,40,11,0,0,0,0,0,2
Norfolk State University PD ,,,280,1,0,2,0,3,5,18,3,0,41,93,4,3,6,0,0,86,8,0,0,0,0,0,5
Northern Virginia Community College PD ,,,217,0,0,0,0,0,0,13,0,0,4,173,2,0,2,0,0,70,1,0,0,0,0,0,0
Old Dominion University PD ,,,433,0,0,1,0,4,4,47,1,0,16,184,1,20,2,0,1,125,16,0,0,0,0,0,7
Radford University PD ,,,253,0,0,0,0,0,1,19,0,0,5,114,0,1,4,0,1,109,42,0,0,0,0,0,3
Thomas Nelson Community College PD ,,,19,0,0,0,0,1,0,2,0,0,2,18,0,2,0,0,0,6,0,0,0,0,0,0,0
University of Mary Washington PD 0 ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Richmond PD ,,,199,0,0,1,0,0,1,12,1,0,21,108,0,0,3,0,0,100,29,0,0,0,0,0,1
University of Virginia PD ,,,569,0,0,0,4,7,8,65,2,2,56,336,5,1,20,6,0,137,30,0,0,0,0,0,3
UVA’s College at Wise PD ,,,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Va. Commonwealth University PD ,,,1030,0,2,0,7,17,17,97,0,1,11,599,10,12,14,2,3,96,193,0,0,0,0,0,50
Virginia Tech University PD ,,,470,2,0,2,0,1,1,56,2,0,27,227,2,20,11,0,3,196,24,0,1,0,0,0,2
Va. Western Community College PD ,,,23,0,0,0,0,0,0,3,0,0,1,13,0,0,0,0,0,10,0,0,0,0,0,0,0
Virginia Military Institute PD ,,,44,0,0,1,0,0,0,2,0,1,2,16,0,0,2,0,0,4,1,0,0,0,0,0,0
Virginia State University Police ,,,260,0,1,0,1,5,3,28,0,0,5,160,7,1,2,0,2,110,10,0,0,0,0,0,2
William & Mary College PD ,,,375,0,0,0,0,0,0,30,0,1,17,159,0,2,4,1,1,109,11,0,0,0,0,0,1
"0–11 For those agencies without full year submission, footnote represents number of months of data submitted ",,,,,,,,,,,,,,,,,,,,,,,,,,,
i Incomplete totals,,,,,,,,,,,,,,,,,,,,,,,,,,,
