Days of Week/Number of Offenses,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Bribery,3,1,1,3,3,1,5
Counterfeiting/Forgery,1195,1159,1173,1229,1298,813,606
Destruction/Vandalism,13627,12161,12422,12147,15308,15162,13553
Embezzlement,609,542,572,621,621,539,376
Extortion,18,17,19,24,10,12,8
Fraud,3778,3683,3617,3823,3862,2716,1943
Stolen Property,275,250,279,258,284,251,199
Total,19505,17813,18083,18105,21386,19494,16690
