TOWNS,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Abingdon PD ,7933,11294.59,896,0,0,4,2,0,11,119,0,0,22,336,17,44,124,10,1,116,142,2,1,0,0,0,7
Altavista PD ,3384,6796.69,230,0,2,3,1,1,7,50,0,0,13,110,8,3,5,3,0,43,15,0,0,0,0,0,3
Amherst PD ,2224,2877.69,64,0,0,0,0,1,1,13,0,0,1,24,2,0,3,1,0,12,5,0,0,0,0,0,1
Appalachia PD ,1761,9369.67,165,0,1,0,3,1,4,54,0,1,16,30,4,0,0,24,0,13,26,0,0,0,0,0,2
Ashland PD ,7052,9160.52,646,0,1,2,3,8,9,127,1,0,22,250,20,9,43,1,1,151,46,0,0,0,4,0,11
Berryville PD ,3186,5367.23,171,0,0,1,0,0,2,28,0,0,1,62,6,3,7,0,1,59,15,0,0,0,0,0,1
Big Stone Gap PD ,5698,5142.15,293,0,1,1,3,2,4,38,1,0,33,124,7,7,1,0,0,65,25,0,0,0,0,0,5
Blacksburg PD ,39284,3713.98,1459,0,7,8,9,10,45,227,5,0,121,527,17,26,68,2,3,433,78,0,0,0,0,0,14
Blackstone PD ,3544,9706.54,344,0,0,3,2,1,7,65,1,0,11,114,10,10,6,6,3,86,46,1,0,0,0,0,8
Bluefield PD ,5226,6429.39,336,0,0,0,2,1,11,31,0,0,19,157,4,35,15,3,1,56,36,0,1,0,0,0,2
Bowling Green PD 7 ,1013,493.58,5,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1
Boykins PD ,612,1633.98,10,0,0,0,0,0,0,3,0,0,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0
Bridgewater PD ,5399,889.05,48,0,0,0,0,0,1,3,0,0,6,14,0,3,3,1,0,13,5,0,0,0,0,0,1
Broadway PD ,2903,1308.99,38,0,1,1,0,0,0,8,0,0,3,7,1,0,1,1,0,10,7,0,0,0,0,0,0
Brookneal PD1 ,1253,2633.67,33,0,0,0,0,0,3,9,0,0,1,11,2,0,0,0,0,6,4,0,0,0,0,0,0
Burkeville PD ,472,6567.79,31,0,0,0,1,0,3,2,0,0,0,16,2,3,1,0,0,3,0,0,0,0,0,0,0
Cape Charles PD ,1470,2040.81,30,0,0,0,0,2,5,1,0,0,9,10,2,1,0,0,0,4,1,0,0,0,0,0,0
Cedar Bluff PD ,1066,2345.21,25,0,0,0,0,0,1,0,0,0,1,11,0,1,0,0,0,3,10,0,0,0,0,0,0
Chase City PD ,2356,6324.27,149,0,0,1,2,0,3,43,0,0,12,44,8,2,9,0,0,34,11,1,0,0,0,0,2
Chatham PD ,1285,2256.8,29,0,0,0,0,0,0,6,0,0,6,7,1,0,0,0,0,14,0,0,0,0,0,0,0
Chilhowie PD ,1778,4386.95,78,0,0,0,0,0,0,16,1,0,5,32,1,5,1,2,0,17,3,0,1,0,0,0,3
Chincoteague PD ,4372,4849.03,212,0,0,1,0,1,3,41,0,0,27,69,6,2,4,1,4,34,33,0,0,0,0,0,1
Christiansburg PD ,17853,10009.52,1787,0,1,1,43,7,45,414,3,0,113,631,30,56,139,33,10,254,252,0,4,0,0,0,19
Clarksville PD ,1276,3996.86,51,0,0,0,0,0,0,9,0,0,1,26,0,1,2,0,0,14,0,0,0,0,0,0,0
Clifton Forge PD ,4040,5148.51,208,0,3,0,0,1,5,43,2,0,22,63,1,1,3,2,0,66,18,0,0,0,0,0,2
Clinchco PD ,410,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clintwood PD ,1517,5405.4,82,0,0,0,0,0,4,4,0,0,12,42,2,3,6,0,0,8,4,0,0,0,0,0,2
Coeburn PD 9 ,1999,2451.22,49,1,0,0,1,2,1,6,0,0,6,19,0,4,0,0,1,10,0,0,0,0,0,0,2
Colonial Beach PD ,3663,3439.8,126,1,0,0,3,3,3,29,0,0,6,31,3,0,6,2,1,34,14,0,0,0,0,0,2
Courtland PD ,1260,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crewe PD ,2280,7543.85,172,0,0,0,0,5,11,13,0,0,19,74,5,4,2,0,0,36,6,0,0,0,1,0,2
Culpeper PD ,13011,11029.12,1435,0,8,5,19,15,32,416,4,1,38,367,24,50,125,25,5,376,159,3,0,1,0,0,25
Damascus PD ,1072,7369.4,79,0,1,0,0,1,2,11,0,0,2,35,3,4,1,0,0,4,18,0,0,0,0,0,1
Dayton PD ,1347,3711.95,50,0,0,1,0,0,0,9,0,0,3,13,2,3,4,0,0,9,13,0,0,0,0,0,5
Dublin PD ,2216,4016.24,89,0,0,0,3,2,3,18,1,0,5,43,2,3,2,0,0,5,3,0,0,0,0,0,2
Dumfries PD ,4812,6359.1,306,0,0,0,0,6,10,23,1,0,40,113,20,8,6,0,0,85,24,0,4,0,0,0,5
Edinburg PD ,869,805.52,7,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0
Elkton PD ,2600,2692.3,70,0,0,0,0,1,1,7,0,0,6,19,0,3,4,1,1,19,15,0,0,0,0,0,2
Exmore PD ,1387,5479.45,76,0,1,0,0,5,1,2,0,0,8,31,1,0,3,0,0,19,4,0,0,0,0,0,2
Farmville PD ,6898,2768.91,191,0,1,4,2,1,3,8,1,0,14,84,4,10,14,5,3,11,41,0,0,0,0,0,5
Fries PD ,564,177.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Front Royal PD ,14561,6510.54,948,0,3,10,16,9,19,248,1,0,33,318,27,31,43,16,0,172,100,1,3,0,0,1,21
Gate City PD ,2094,4345.74,91,0,1,1,0,0,0,16,0,0,5,41,0,5,2,0,1,17,9,0,0,0,0,0,3
Glade Spring PD ,1521,1117.68,17,0,0,0,0,1,0,0,0,0,3,8,0,2,0,0,0,5,0,0,0,0,0,0,0
Glasgow PD ,1015,591.13,6,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
Glen Lyn PD ,165,7878.78,13,0,0,0,0,0,0,4,0,0,1,6,0,1,0,0,0,2,1,0,0,0,0,0,0
Gordonsville PD ,1660,5361.44,89,0,0,1,0,0,0,18,1,0,9,19,0,1,2,2,1,24,15,0,0,0,0,0,1
Gretna PD ,1210,2727.27,33,0,0,0,0,1,1,5,0,0,8,11,1,0,0,0,0,4,1,0,0,0,0,0,0
Grottoes PD ,2177,2939.82,64,0,0,0,1,0,5,7,0,0,10,17,2,1,2,0,0,13,7,0,1,0,0,0,1
Grundy PD ,990,1313.13,13,0,0,0,0,0,0,2,0,0,0,5,0,1,0,0,0,2,3,0,0,0,0,0,0
Halifax PD ,1286,2332.81,30,0,0,0,0,0,2,2,1,0,2,12,1,2,2,0,0,7,0,0,0,0,0,0,0
Haymarket PD ,1234,2512.15,31,0,0,0,0,0,0,1,0,0,0,2,0,0,2,1,0,5,20,0,0,0,0,0,0
Haysi PD ,180,1666.66,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Herndon PD ,21877,5210.95,1140,1,3,4,11,11,30,301,1,0,19,400,16,9,51,13,1,303,51,0,0,0,1,0,7
Hillsville PD ,2709,7087.48,192,0,0,3,5,1,7,12,0,0,16,53,6,14,10,5,1,45,25,0,0,0,0,0,2
Honaker PD ,913,2847.75,26,0,0,0,0,0,1,12,0,0,6,6,0,1,0,0,0,3,2,0,0,0,0,0,0
Hurt PD ,1232,2272.72,28,0,0,0,1,0,0,6,0,0,3,9,1,1,6,0,0,4,0,0,0,0,0,0,0
Independence PD ,909,4290.42,39,0,0,0,0,0,0,4,0,0,2,4,2,15,11,0,0,1,5,0,0,0,0,0,0
Jonesville PD ,982,4175.15,41,0,0,0,0,0,1,6,0,0,2,13,0,0,0,0,4,9,4,0,1,0,1,0,0
Kenbridge PD ,1318,3034.9,40,0,0,1,0,0,2,9,0,0,3,12,1,1,2,1,0,6,4,0,0,0,0,0,1
Kilmarnock PD ,1201,1248.95,15,0,0,0,0,1,1,3,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0
LaCrosse PD ,589,5263.15,31,0,0,0,0,0,2,4,0,0,8,5,2,1,2,0,0,4,6,0,0,0,0,0,1
Lawrenceville PD ,1155,6060.6,70,0,0,3,0,1,3,8,0,0,6,20,0,4,8,3,0,10,7,0,0,0,0,0,1
Lebanon PD ,3201,5623.24,180,0,0,0,2,1,1,17,1,0,7,92,6,9,8,2,1,33,10,0,0,0,0,0,0
