COUNTY SHERIFFS & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Accomack County SO ,31805,4002.51,1273,5,0,8,16,31,31,355,1,0,140,377,62,15,18,11,1,216,9,1,2,0,0,0,9
State Police ,,,90,0,4,2,0,1,0,1,0,0,1,12,1,4,8,0,0,3,60,0,0,0,0,0,2
Alleghany County SO ,13120,1440.54,189,3,1,1,5,1,6,25,1,0,26,61,6,5,4,2,2,50,12,0,0,0,0,0,6
State Police ,,,35,0,0,0,0,0,1,0,0,0,0,3,0,1,5,0,0,0,26,0,0,0,0,0,0
Amelia County SO ,12763,3290.76,420,0,1,2,6,1,14,132,1,0,42,101,18,12,20,0,1,66,45,0,1,0,0,0,16
State Police ,,,10,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,6,0,0,0,0,0,2
Amherst County SO ,30708,3435.58,1055,1,0,10,17,17,21,188,5,0,40,404,27,15,43,10,0,227,92,0,3,0,2,0,19
State Police ,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0
Appomattox County SO ,14543,1815.3,264,0,1,2,4,4,12,50,2,0,27,91,17,2,4,2,1,39,34,0,0,0,0,0,0
State Police ,,,8,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0
Augusta County SO ,70747,2354.87,1666,1,9,12,41,11,52,170,4,0,173,566,63,47,108,24,4,371,191,3,6,0,0,0,46
State Police ,,,25,0,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,18,0,0,0,0,0,1
Bath County SO6 ,4964,161.16,8,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,2,0,0,0,0,0,0,1
State Police ,,,15,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,10,0,0,0,0,0,0
Bedford County SO ,66457,2779.24,1847,2,8,7,24,8,40,672,4,1,131,565,43,24,46,8,0,373,100,1,9,0,0,0,43
State Police ,,,32,0,0,0,0,0,5,7,0,0,2,7,2,0,5,0,0,3,8,0,0,0,0,0,1
Bland County SO ,7155,1747.03,125,0,0,0,1,3,1,8,0,0,29,38,3,1,3,0,0,43,14,0,0,0,0,0,3
State Police ,,,33,0,0,0,1,0,0,1,0,0,0,9,0,0,0,1,0,2,20,0,0,0,0,0,1
Botetourt County SO ,33141,2447.11,811,1,6,3,4,5,13,148,3,0,56,279,16,11,37,2,5,148,150,2,0,0,0,0,14
State Police ,,,35,0,2,0,0,0,1,0,0,1,0,2,0,0,1,0,0,1,29,0,0,0,0,0,0
Brunswick County SO ,17361,1872.01,325,1,2,0,1,5,15,52,4,1,36,82,20,5,13,2,0,65,67,0,1,0,0,0,18
State Police ,,,14,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1
Buchanan County SO ,22782,4292.86,978,1,8,3,10,7,33,194,15,0,148,360,44,22,40,1,8,152,50,1,0,0,0,0,32
State Police ,,,14,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0
Buckingham County SO ,16342,2355.89,385,2,2,0,0,1,13,121,1,1,75,75,15,1,4,0,0,86,34,0,0,0,1,0,14
State Police ,,,24,0,0,0,0,0,0,5,1,0,0,2,4,1,0,0,0,0,11,0,0,0,0,0,0
Campbell County SO ,47475,3863.08,1834,0,13,12,29,10,54,485,3,0,163,614,51,32,70,12,0,364,75,4,7,0,0,0,38
State Police ,,,40,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,33,0,0,0,0,0,0
Caroline County SO ,25544,4314.12,1102,4,5,7,14,12,41,265,2,0,103,331,1,6,78,1,3,182,115,0,1,1,0,0,37
State Police ,,,77,0,0,0,1,0,1,0,2,0,0,27,19,1,1,0,0,3,32,0,0,0,0,0,2
Carroll County SO ,27542,3020.84,832,4,1,5,5,3,29,262,7,1,92,246,32,18,27,5,2,180,65,1,0,0,0,0,38
State Police ,,,43,0,0,1,1,1,0,3,0,0,0,9,4,0,4,1,2,0,16,0,0,0,0,0,2
Charles City County SO ,7071,947.53,67,0,0,1,4,1,6,24,0,0,10,10,2,1,0,1,0,16,6,0,0,0,0,0,2
State Police ,,,15,0,1,0,0,0,1,1,0,0,1,3,1,0,0,0,1,0,6,0,0,0,0,0,3
Charlotte County SO ,12696,3686.2,468,0,1,1,5,3,16,177,1,0,41,96,17,8,9,0,0,71,72,1,0,0,0,0,9
State Police ,,,48,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,43,0,0,0,0,0,1
Clarke County SO ,10989,4031.3,443,0,0,2,5,1,20,58,3,0,35,150,17,11,14,0,1,123,47,0,0,0,0,1,5
State Police ,,,16,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,1
Craig County SO11 ,5275,1763.03,93,0,0,0,1,0,2,24,13,0,5,12,1,0,1,0,0,11,16,0,0,0,0,0,7
State Police ,,,14,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,9,0,0,0,0,0,0
Culpeper County SO ,32494,2132.7,693,0,9,3,17,6,9,194,1,0,44,156,18,8,54,11,3,140,94,2,0,0,0,0,19
State Police ,,,110,0,0,0,0,0,2,2,0,0,1,1,1,1,32,1,0,1,62,0,5,0,0,0,1
Cumberland County SO ,9819,1721.15,169,1,1,2,6,1,16,87,1,0,20,24,12,1,2,0,0,16,22,1,0,0,0,0,7
State Police ,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Dickenson County SO ,13692,3856.26,528,4,0,3,6,1,9,153,1,0,33,208,13,10,12,0,0,98,30,0,0,0,0,0,16
