Arrests by Offense,College/University,,Other Agency,,Total Other,,Total State,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,0,0,0,0,0,0,292,14
Manslaughter,0,0,0,0,0,0,7,3
Kidnaping,0,0,0,0,0,0,831,37
"Sex Offenses, Forcible",0,0,0,0,0,0,1011,278
Robbery,1,2,0,0,1,2,1336,306
Aggravated Assault,7,0,7,0,14,0,4065,587
Simple Assault/Intimidation,63,1,18,2,81,3,31307,4987
Arson,2,0,0,0,2,0,152,158
Extortion/Blackmail,1,0,0,0,1,0,25,18
Burglary,12,0,3,0,15,0,2738,1003
Larceny,59,6,31,0,90,6,18314,4918
Motor Vehicle Theft,2,0,4,0,6,0,1029,417
Counterfeiting/Forgery,12,0,15,0,27,0,2649,73
Fraud,8,0,15,0,23,0,3024,83
Embezzlement,6,0,2,0,8,0,1430,78
Stolen Property,1,0,2,0,3,0,823,196
Vandalism,13,1,9,0,22,1,3071,1386
Drug/Narcotic Offenses,220,7,152,5,372,12,25487,2637
"Sex Offenses, Nonforcible",0,0,0,0,0,0,136,16
Pornography,0,0,0,0,0,0,58,11
Gambling,0,0,0,0,0,0,63,3
Prostitution,0,0,0,0,0,0,763,4
Bribery,0,0,0,0,0,0,12,0
Weapon Law Violations,15,0,87,4,102,4,2877,674
TOTAL GROUP A,422,17,345,11,767,28,101500,17887
Bad Checks,2,0,3,0,5,0,6699,7
Curfew/Loitering/Vagrancy,0,0,0,0,0,0,144,2358
Disorderly Conduct,75,0,27,0,102,0,5369,1697
Driving Under Influence,386,5,189,0,575,5,25147,247
Drunkenness,682,1,131,1,813,2,27835,259
"Family Offenses, Nonforcible",0,0,2,0,2,0,1330,15
Liquor Laws Violations,727,34,1365,64,2092,98,8339,1605
Peeping Tom,0,0,0,0,0,0,56,6
Runaway,0,0,0,0,0,0,0,4400
Trespass of Real Property,157,3,26,1,183,4,7742,1055
Conspiracy,0,0,1,0,1,0,106,10
All Other (except Traffic),457,6,865,39,1322,45,82259,7315
TOTAL GROUP B,2486,49,2609,105,5095,154,165026,18974
GRAND TOTAL,2908,66,2954,116,5862,182,266526,36861
