Group B Offense Categories,Total,White,Black,American Indian/Alaskan Native,Asian/Pacific Islander
Bad Checks,6706,4790,1891,2,23
Curfew/Loitering/Vagrancy Violations,2502,1296,1188,1,17
Disorderly Conduct,7066,3211,3792,3,60
Driving Under the Influence,25394,20225,4847,28,294
Drunkenness,28094,20834,7076,50,134
"Family Offenses, Nonviolent",1345,535,800,1,9
Liquor Law Violations,9944,7537,2219,14,174
Peeping Tom,62,44,16,,2
Runaway,4400,2266,2097,2,35
Trespass of Real Property,8797,3841,4881,7,68
Conspiracy to Commit Group A Offense,94,67,27,,
Conspiracy to Commit Group B Offense,22,14,8,,
All Other Offenses,89574,49697,39182,40,655
Total Group B Arrests,184000,114357,68024,148,1471
