Month,Stolen,Recovered,% Recovered
JAN,"25,232,988","7,145,721",28.3
FEB,"23,809,218","8,681,612",36.5
MAR,"28,054,562","5,973,628",21.3
APR,"21,876,763","6,826,349",31.2
MAY,"23,838,652","6,136,434",25.7
JUN,"23,213,307","6,505,669",28
JUL,"28,187,047","7,577,622",26.9
AUG,"26,592,269","7,154,274",26.9
SEP,"21,545,666","6,017,338",27.9
OCT,"22,466,750","5,516,593",24.6
NOV,"21,893,425","5,223,906",23.9
DEC,"19,562,808","4,895,891",25
TOTAL,"$286,273,455","$77,655,037",27.10%
