Circumstances of Aggravated Assaults,Number
Argument,4295
Assault on Law Officer,675
Drug Dealing,68
Gangland,62
Juvenile Gang,40
Lover's Quarrel,397
Other Felony Involved,42
Other Circumstances,2307
Unknown Circumstances,3507
