Day/Time,00:00-03:59,04:00-07:59,08:00-11:59,12:00-15:59,16:00-19:59,20:00-23:59,Unk
Monday,5556,3400,8324,8844,11020,8682,1613
Tuesday,5065,3359,7595,8669,10750,8613,1566
Wednesday,5270,3280,7677,8680,11052,9065,1413
Thursday,5900,3244,7695,8943,11075,9218,1544
Friday,6137,3445,8028,9924,13515,10795,1553
Saturday,7219,2660,6797,8979,10240,10408,1457
Sunday,7245,2299,5877,7768,8795,8491,1158
