Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
COLLEGE & UNIVERSITY,,,,
Christopher Newport PD,14,12,2,5
Emory & Henry Col. PD,1,1,0,3
Ferrum College PD,7,4,3,0
Geo. Mason Univ. PD,46,36,10,13
Hampton University PD,20,19,1,16
James Madison Univ. PD,22,19,3,5
Longwood Univ. PD,13,11,2,5
Univ. of Mary Wash. PD,13,12,1,8
Norfolk State Univ. PD,26,18,8,16
N. VA Comm. Col. PD,34,32,2,0
Old Dominion Campus PD,35,28,7,8
Radford Univ. PD,18,16,2,5
Thomas Nelson Col. PD,8,6,2,2
Univ. of Richmond PD,15,13,2,16
University of Virginia PD,51,37,14,57
UVA's Col. at Wise PD,7,6,1,1
VA Commonwlth Univ. PD,70,56,14,82
Virginia Military Institute,6,6,0,0
Virginia State Univ. PD,19,15,4,14
Virginia Tech PD,36,33,3,18
VA Wstrn Comm. Col. PD,6,6,0,3
William & Mary Col. PD,16,15,1,5
COLLEGE AND UNIVERSITY TOTAL,483,401,82,282
