COUNTY SHERIFFS & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Accomack County SO,31523,3832.12,1208,1,0,11,18,19,22,437,1,0,72,345,38,25,14,7,0,186,23,4,0,0,0,0,16
State Police,,,90,0,0,0,0,0,2,1,0,0,3,12,2,8,13,0,0,4,50,0,1,0,0,0,3
Alleghany County SO,12184,2486.86,303,0,1,0,0,0,11,115,4,0,25,72,7,6,1,0,0,71,34,0,0,0,0,0,3
State Police,,,87,0,0,0,0,0,2,1,1,0,0,5,2,0,5,0,0,3,69,0,0,0,0,0,3
Amelia County SO,12000,2083.33,250,0,1,1,8,1,9,75,4,0,11,85,14,5,1,1,0,57,14,2,0,0,0,0,7
State Police,,,10,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0
Amherst County SO,28980,2667.35,773,1,10,10,15,10,15,132,2,0,47,263,29,43,16,4,0,144,95,1,0,0,0,1,7
State Police,,,16,0,0,0,0,0,0,6,0,0,0,3,1,0,0,0,0,0,6,0,0,0,0,0,1
Appomattox County SO,13700,2072.99,284,0,1,2,10,4,11,63,0,0,22,74,2,11,6,1,1,39,55,0,0,0,0,0,11
State Police,,,10,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,6,0,0,0,0,0,0
Augusta County SO,67600,2522.18,1705,4,6,7,19,10,64,311,5,2,150,644,59,130,95,32,2,340,129,0,1,0,0,0,40
State Police,,,93,0,0,1,4,0,11,8,5,0,3,10,6,2,3,0,1,7,35,0,1,0,0,0,7
Bath County SO,4800,125,6,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0
State Police,,,27,0,0,1,1,0,0,1,0,0,2,5,0,0,1,0,0,0,18,0,0,0,0,0,0
Bedford County SO,62700,2789.47,1749,0,8,13,31,2,41,544,10,0,146,495,34,48,55,6,4,415,111,5,3,0,0,0,37
State Police,,,25,0,0,0,2,0,4,2,0,0,0,5,1,1,3,0,0,2,6,0,0,0,0,0,0
Bland County SO,7000,1728.57,121,0,0,0,0,2,0,17,0,0,43,67,4,0,1,0,0,43,6,0,0,0,0,0,0
State Police,,,19,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,13,0,0,0,0,0,1
Botetourt County SO,31400,3353.5,1053,0,2,2,3,2,28,181,1,0,40,321,17,20,31,5,1,279,195,2,1,0,0,0,20
State Police,,,30,0,0,0,0,0,1,4,0,0,0,2,2,1,1,0,1,0,19,0,0,0,0,0,2
Brunswick County SO,17069,2776.96,474,1,1,2,5,2,5,60,2,0,71,152,29,11,10,2,3,130,43,1,0,0,0,0,16
State Police,,,87,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,82,0,0,0,0,0,2
Buchanan County SO,24270,4655.95,1130,6,5,11,14,8,35,256,10,1,199,509,50,31,36,0,6,171,68,1,0,0,0,0,30
State Police,,,32,0,0,0,0,0,1,2,2,0,3,12,2,1,3,0,0,5,8,0,0,0,0,0,0
Buckingham County SO,16000,3125,500,0,0,2,4,2,15,160,1,1,40,144,9,6,7,0,1,106,38,1,1,0,0,0,18
State Police,,,33,0,0,0,0,0,0,0,0,0,1,3,3,1,0,0,0,1,27,0,0,0,0,0,1
Campbell County SO,46124,3631.51,1675,1,15,15,40,10,42,540,6,0,135,468,39,52,65,3,4,308,143,3,6,0,0,0,50
State Police,,,58,0,0,0,0,0,6,3,0,0,3,16,2,0,1,0,0,4,26,0,0,0,0,0,3
Caroline County SO,22554,2509.53,566,0,1,7,2,4,75,99,1,0,28,193,22,14,21,8,0,88,53,0,0,0,1,0,16
State Police,,,67,1,0,1,1,1,1,4,1,0,0,5,11,1,0,0,0,3,38,0,0,0,0,0,3
Carroll County SO,26940,2861.91,771,1,13,2,9,5,34,237,5,0,98,258,46,25,17,2,2,151,75,12,0,0,0,0,24
State Police,,,86,0,0,0,0,1,6,3,0,0,0,24,3,3,2,1,2,5,39,0,0,0,0,0,1
Charles City County SO 0,7000,971.42,68,0,0,0,1,0,3,17,0,0,13,28,2,0,1,0,0,8,6,0,0,0,0,0,4
State Police,,,7,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,3,0,0,0,0,0,1
Charlotte County SO,12400,1475.8,183,0,0,0,1,1,14,119,0,0,11,14,3,12,2,3,0,28,12,0,0,0,0,0,9
State Police,,,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1
Clarke County SO,10670,4226.8,451,2,1,6,3,0,30,40,2,0,26,164,11,6,15,2,3,141,38,0,2,0,0,0,3
State Police,,,26,1,0,0,0,0,1,0,0,0,0,4,5,0,0,0,0,1,14,0,0,0,0,0,0
Craig County SO,5200,1942.3,101,2,2,0,0,0,5,34,1,0,11,13,2,2,4,0,0,3,17,0,1,0,0,0,4
State Police,,,19,0,0,0,0,0,1,1,1,0,0,3,0,2,3,0,0,2,6,0,0,0,0,0,0
Culpeper County SO0,28658,2285.57,655,0,1,5,18,5,19,250,3,1,27,190,15,11,17,4,5,137,38,0,1,0,0,0,15
State Police,,,136,0,0,1,1,0,5,3,0,0,0,8,0,0,0,0,0,2,115,0,1,0,0,0,3
Cumberland County SO,9500,2410.52,229,0,0,1,1,0,11,73,1,0,38,56,5,4,3,1,1,29,17,1,0,0,0,0,18
