,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Arson,98,129,158,150,157,149,154,134,116,115,136,141
"Assault, Aggrav.",735,610,754,874,933,867,927,903,849,892,741,749
"Assault, Other",6083,5980,6839,6959,7770,6965,6931,6812,7217,7096,6409,6111
Bribery,1,0,1,4,0,1,4,0,1,1,3,1
Burglary,2175,1860,2137,2156,2287,2369,2537,2527,2483,2591,2319,2442
Counterfeiting,712,642,792,682,741,740,698,761,788,715,736,711
Destruction,6668,6092,7113,7510,7636,8059,8654,8741,7183,8010,6975,7014
Drug,3147,3333,3745,3501,3186,3315,3292,3407,3264,3369,2866,3017
Embezzlement,272,210,238,243,268,265,279,256,248,244,265,285
Extortion,8,6,7,5,4,6,14,4,4,1,7,10
Fraud,1432,1312,1417,1329,1291,1420,1457,1374,1414,1268,1224,1278
Gambling,1,3,4,0,6,5,6,3,5,3,2,1
"Homicide, Murder",32,25,34,35,32,38,30,34,34,23,19,20
"Homicide, Neg.",1,2,1,1,1,1,3,4,0,2,2,2
Kidnapping,90,115,129,125,163,132,162,150,135,139,124,131
Larceny,12101,11006,12658,12714,13822,14063,14573,14392,13276,13825,12472,12159
MV Theft,1444,1400,1387,1328,1510,1547,1639,1676,1386,1454,1297,1241
Pornography,31,14,14,14,17,20,13,15,8,18,9,10
Prostitution,80,76,86,90,118,91,93,61,115,80,69,40
Robbery,613,450,519,590,566,533,595,560,608,643,552,679
"Forcible Sex, Rape",110,148,132,157,163,138,172,153,139,146,138,109
"Forcible Sex, Other",270,229,300,287,279,311,290,278,238,247,220,230
Nonforcible Sex,24,25,22,27,27,28,25,20,35,20,14,20
Stolen Property,100,86,112,111,98,126,128,125,125,117,108,113
Weapon Laws,792,791,890,848,798,797,853,786,791,851,733,788
Group A Offenses,37020,34544,39489,39740,41873,41986,43529,43176,40462,41870,37440,37302
Group A Incidents,33477,31361,36039,36222,38370,38231,39576,39260,36850,38238,34171,33953
"Assaults, Other includes simple assaults, and intimidation.",,,,,,,,,,,,
"Forcible Sex, Other includes sodomy, sexual assault with object, and forcible fondling.",,,,,,,,,,,,
Nonforcible Sex includes incest and statutory rape.,,,,,,,,,,,,
"These crime counts represent offenses reported in an incident, not victims of each offense.",,,,,,,,,,,,
