Cities and State Police,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Alexandria PD,134200,4273.47,5735,2,11,27,13,139,156,1140,9,3,318,2206,475,56,326,45,97,1237,231,0,0,6,1,1,30
State Police,,,8,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,1
Bedford PD,6300,10126.98,638,0,5,4,13,4,16,213,1,0,26,204,5,43,18,2,1,85,58,2,0,0,1,0,23
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bristol PD,17200,10918.6,1878,1,2,7,20,25,62,524,5,0,110,543,31,178,52,13,7,385,122,1,0,0,0,0,40
State Police,,,7,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,1,0,0,0,0,0,0
Buena Vista PD,6400,2750,176,0,1,3,4,2,18,25,1,0,12,69,6,2,7,0,0,42,13,0,0,0,0,0,2
State Police,,,39,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,37,0,0,0,0,0,0
Charlottesville PD,39500,10341.77,4085,4,14,29,43,69,220,842,10,1,227,1280,154,53,142,46,6,979,482,5,6,0,2,0,72
State Police,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chesapeake PD,209700,6869.33,14405,12,136,61,138,293,733,3948,24,1,1310,5948,633,363,609,124,59,273,1204,6,5,5,8,0,347
State Police,,,21,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,17,0,0,0,0,0,0
Colonial Heights PD,17000,10470.58,1780,3,9,4,13,20,24,319,11,0,76,679,36,44,101,46,8,303,262,0,1,0,0,0,27
State Police,,,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0
Covington PD,5900,7915.25,467,1,1,2,6,7,9,86,5,0,38,164,11,30,13,2,0,101,24,2,0,0,0,0,5
State Police,,,10,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0
Danville PD,45900,12161.22,5582,4,14,17,5,92,190,1431,14,3,276,1860,119,138,165,46,4,1139,427,4,3,0,32,0,128
State Police,,,8,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,0,0,0,0
Emporia PD,5500,17345.45,954,0,6,2,4,15,25,189,2,0,61,399,13,38,22,7,2,212,52,0,0,0,0,0,22
State Police,,,27,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,23,0,0,0,0,0,0
Fairfax PD0,23300,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Falls Church PD,11200,6598.21,739,1,0,2,3,8,14,108,6,0,36,336,42,6,48,3,0,166,51,0,1,0,0,0,5
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin PD,8200,10439.02,856,2,4,1,10,8,18,241,1,0,24,283,26,23,8,4,4,225,76,0,0,0,2,0,33
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fredericksburg PD,21100,11099.52,2342,2,8,13,26,25,58,266,3,0,79,876,76,39,129,44,3,411,500,1,1,1,11,0,47
State Police,,,30,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,28,0,0,0,0,0,1
Galax PD10,6800,11720.58,797,0,1,2,7,1,26,130,1,0,30,259,17,83,17,2,1,154,101,0,1,0,0,0,28
State Police,,,10,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,7,0,0,0,0,0,1
Hampton PD,142800,7651.96,10927,14,45,48,88,222,293,2059,46,2,739,3617,565,111,449,183,35,2459,1007,2,2,0,8,0,407
State Police,,,130,0,0,0,0,0,5,2,0,0,0,1,2,2,38,0,1,2,67,0,0,0,0,0,17
Harrisonburg PD,42700,6524.59,2786,1,7,20,24,27,72,481,9,0,308,923,78,53,123,28,13,842,331,4,0,0,0,0,75
State Police,,,121,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,118,0,0,0,0,0,4
Hopewell PD,22200,12351.35,2742,1,10,10,34,55,110,779,10,1,277,745,127,18,56,3,3,808,206,1,1,0,0,0,74
State Police,,,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
Lexington PD,6900,3724.63,257,0,0,0,2,2,3,31,0,0,42,134,8,8,4,1,0,67,16,0,0,0,0,0,3
State Police,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Lynchburg PD,66900,9219.73,6168,4,34,17,67,65,156,2059,15,1,392,2150,175,111,187,35,23,1002,582,2,3,0,19,0,137
State Police,,,22,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,0,17,0,0,0,0,0,0
Manassas PD,37000,7489.18,2771,3,32,21,42,48,91,754,8,1,137,911,141,53,194,30,8,288,248,1,1,1,1,1,52
