Arrests by Offense,Accomack,,Albemarle ,,Alleghany ,,Amelia ,,Amherst ,,Appomattox,,Arlington,,Augusta,,Bath,,Bedford,,Bland,,Botetourt,,Brunswick ,,Buchanan ,,Buckingham ,,Campbell ,,Caroline ,,Carroll,,Charles City,,Charlotte,,Chesterfield,,Clarke,,Craig,,Culpeper,,Cumberland,,Dickenson,,Dinwiddie,,Essex,,Fairfax,,Fauquier,,Floyd,,Fluvanna,,Franklin,,Frederick,,Giles,,Gloucester,,Goochland,,Grayson,,Greene,,Greensville,,Halifax,,Hanover,,Henrico,,Henry,,Highland,,Isle of Wight,,James City,,King & Queen,,King George,,King William,,Lancaster,,Lee,,Loudoun,,Louisa,,Lunenburg,,Madison,,Mathews,,Mecklenburg,,Middlesex,,Montgomery,,Nelson,,New Kent,,Northampton,,Northumberland,,Nottoway,,Orange,,Page,,Patrick,,Pittsylvania,,Powhatan,,Prince Edward,,Prince George,,Prince William,,Pulaski,,Rappahannock,,Richmond,,Roanoke,,Rockbridge,,Rockingham,,Russell,,Scott,,Shenandoah,,Smyth,,Southampton,,Spotsylvania,,Stafford,,Surry,,Sussex,,Tazewell,,Warren,,Washington,,Westmoreland,,Wise,,Wythe,,York,,Total County,
Burglary,12,0,26,4,8,6,0,0,16,0,2,0,28,8,27,1,0,0,13,2,1,2,16,0,9,4,27,1,6,1,10,0,3,1,28,4,0,0,2,2,127,207,5,0,5,0,4,8,1,1,19,5,6,2,0,0,27,6,16,10,1,1,0,1,28,3,30,10,2,1,8,10,7,2,13,3,0,2,1,0,13,0,34,20,158,89,42,10,0,0,2,1,22,12,0,0,6,2,3,0,1,1,18,0,44,16,2,2,9,2,2,2,2,1,11,1,0,0,42,5,1,0,0,2,11,0,4,1,9,0,2,1,0,0,35,5,25,3,7,1,2,0,0,0,97,46,9,2,0,0,1,2,28,1,4,2,10,4,20,0,16,0,6,0,13,2,1,0,4,3,21,18,4,4,0,2,63,6,8,0,31,6,9,2,32,0,4,0,11,6,1433,591
Larceny,63,3,175,115,28,13,10,1,70,2,10,2,442,170,60,4,1,1,33,4,1,0,36,7,27,7,110,6,29,0,48,8,21,3,40,4,6,0,2,0,996,716,8,1,10,0,107,12,18,0,30,1,25,7,33,16,570,18,46,47,1,4,5,2,63,5,112,22,13,0,57,10,4,0,27,2,5,5,0,0,89,35,276,99,1280,444,117,10,0,0,58,13,90,37,0,0,33,9,16,7,8,2,98,0,346,73,19,2,17,0,3,0,5,1,50,13,0,0,170,89,17,1,2,4,20,3,24,3,24,3,24,6,7,0,27,1,43,3,9,0,12,0,15,1,968,157,165,9,1,0,14,3,212,31,41,7,41,10,122,12,41,1,66,13,109,15,6,0,164,29,199,84,17,1,18,5,270,62,59,4,238,7,22,1,161,4,71,2,92,9,9338,2543
Motor Vehicle Theft,4,0,5,1,2,0,4,1,2,0,0,0,20,10,2,0,0,0,1,0,2,0,3,2,6,0,18,1,0,0,3,0,3,1,10,2,1,0,2,0,1,0,2,2,1,0,3,0,2,0,1,0,13,5,5,0,34,5,0,0,1,0,1,0,10,12,2,10,0,0,4,0,5,0,5,0,2,0,0,0,1,0,4,6,37,47,10,3,0,0,4,0,0,0,0,0,4,2,4,2,1,0,6,0,45,8,0,0,1,0,0,0,2,2,3,5,1,0,7,0,3,0,1,0,3,2,6,2,2,0,1,0,0,0,10,1,3,2,3,0,0,0,2,2,55,26,1,0,0,1,2,0,25,1,4,0,1,0,6,0,7,1,0,0,8,2,1,0,0,0,25,16,0,0,4,0,16,2,6,1,7,0,7,1,8,1,4,1,6,0,537,189
Counterfeiting/Forgery,11,0,35,0,0,0,3,0,27,0,8,0,72,1,24,0,0,0,4,0,0,0,12,0,10,0,19,1,3,0,2,0,8,0,18,0,0,0,2,0,205,12,5,0,6,0,35,0,4,0,4,0,9,1,2,0,35,0,20,0,0,2,2,0,8,0,15,0,1,0,5,1,1,0,3,0,0,0,1,0,13,0,39,2,84,2,33,1,0,0,5,0,16,0,0,0,4,0,5,0,1,0,11,0,44,0,3,0,3,0,0,0,0,0,14,0,0,0,12,0,0,0,1,0,4,1,11,0,6,0,1,0,0,0,16,1,4,0,2,0,6,0,1,3,104,3,33,0,0,0,1,0,31,2,2,1,13,1,28,1,9,0,9,1,28,0,2,0,9,1,30,1,3,0,3,0,72,4,6,0,146,1,2,0,13,0,7,0,6,0,1515,44
Fraud,16,0,73,4,0,0,1,0,3,0,2,0,83,2,6,0,0,0,8,0,0,0,11,0,2,0,10,0,4,0,21,0,6,0,26,0,0,0,1,0,173,21,3,0,4,0,59,0,2,0,7,0,8,1,6,0,122,0,10,0,1,0,0,0,10,0,13,0,3,0,7,0,0,0,2,0,1,0,0,0,2,0,57,3,113,2,12,0,0,0,12,0,19,0,0,0,2,1,1,0,3,0,1,0,112,0,0,0,1,0,0,0,1,0,3,0,0,0,22,0,3,0,0,0,4,0,8,0,1,0,7,0,3,0,2,0,4,0,2,0,17,0,24,0,167,5,10,1,0,0,2,1,57,1,1,0,14,0,14,0,6,0,13,0,25,0,3,0,13,1,71,5,4,0,1,0,64,0,16,0,25,1,1,0,12,0,8,0,36,0,1703,49
Embezzlement,2,0,34,1,0,0,0,0,2,0,1,0,61,3,4,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,1,0,4,0,1,0,1,0,3,0,97,10,1,0,0,0,20,0,0,0,1,0,3,0,5,0,101,0,15,0,0,0,1,0,5,0,12,0,3,0,3,0,1,0,0,0,0,0,0,0,8,0,21,12,34,1,15,0,0,0,4,0,22,14,0,0,1,0,0,0,1,0,1,0,66,3,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,1,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,3,0,1,1,84,7,5,0,0,0,2,0,16,0,3,0,4,1,2,0,0,0,4,0,6,0,0,0,21,3,16,1,2,0,0,0,1,0,5,0,4,0,2,0,3,0,4,0,22,0,799,57
Stolen Property,1,0,10,3,2,0,0,0,1,0,1,0,51,2,7,0,0,0,2,0,0,0,0,0,3,0,6,0,0,0,1,0,0,0,2,0,0,0,0,0,18,16,0,0,0,0,10,1,1,0,4,0,0,0,1,0,21,0,9,0,0,0,0,0,2,0,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,19,5,29,11,3,0,2,0,4,0,8,2,0,0,3,1,3,1,1,0,0,0,14,1,0,0,0,0,0,0,0,0,2,1,0,0,15,0,0,0,1,0,1,1,0,0,3,0,0,0,0,1,0,0,1,0,0,0,1,0,5,1,61,17,6,0,0,0,0,0,1,0,0,0,4,0,2,1,2,0,1,0,2,0,1,0,5,4,10,1,2,0,0,0,1,0,1,0,6,2,2,0,11,0,4,1,5,7,401,80
Vandalism,30,2,31,4,10,6,7,0,9,2,1,2,52,24,17,3,0,0,31,1,1,0,11,1,7,0,18,0,21,0,19,2,6,0,29,0,2,0,10,0,148,227,4,2,4,0,44,12,10,1,4,2,7,6,7,3,74,5,27,7,3,3,2,0,17,4,33,23,5,0,6,1,12,4,11,0,2,1,0,0,16,1,38,19,83,84,39,9,0,0,11,1,54,23,0,0,5,4,2,6,2,0,20,0,34,8,2,2,2,1,6,1,2,0,13,19,0,0,51,4,1,0,5,1,9,0,7,0,8,0,6,0,1,2,19,5,21,1,5,0,6,0,7,1,95,95,12,2,0,0,6,1,20,12,7,2,19,19,29,2,24,0,9,9,36,6,4,0,36,9,62,49,3,0,7,3,31,123,10,0,25,2,11,1,50,7,13,2,12,5,1728,889
Drug/Narcotic Offenses,112,2,109,22,78,5,10,4,94,3,68,7,413,50,111,1,1,0,61,6,16,2,127,27,124,7,84,2,43,3,84,6,39,1,108,3,7,1,13,0,1158,304,31,3,20,0,200,19,15,1,42,0,39,7,32,2,178,17,179,17,9,6,10,5,68,21,122,8,18,0,299,18,9,7,71,0,24,2,12,0,115,9,419,131,987,169,79,7,3,0,48,11,127,52,3,0,98,8,54,14,6,0,84,1,210,29,34,1,28,11,19,2,5,2,63,10,17,0,185,14,28,2,16,1,66,0,40,3,38,0,75,5,59,1,45,4,42,6,32,0,17,0,113,8,1248,161,140,13,9,1,9,1,331,24,52,3,151,9,40,0,26,2,157,11,184,1,30,0,443,44,473,76,5,5,45,0,261,11,126,1,106,8,51,0,89,6,240,6,371,19,11980,1492
"Sex Offenses, Nonforcible",2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,13,2,0,0,0,0,3,0,0,0,2,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,4,2,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,16,0,1,0,1,0,0,0,0,0,10,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,93,13
Pornography,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,3,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,39,10
Gambling,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,40,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,121,2
Bribery,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Weapon Law Violations,16,0,17,6,8,1,3,1,5,0,2,0,31,9,21,0,0,0,10,6,0,0,9,2,10,2,20,0,9,1,16,1,8,0,7,0,0,0,2,0,126,103,1,0,4,0,20,0,12,0,11,1,7,3,6,5,45,2,23,4,2,3,4,0,26,3,7,5,1,1,12,0,3,0,6,0,4,2,0,0,17,1,46,4,134,48,25,3,0,0,16,2,9,10,0,0,11,2,8,0,2,0,0,0,46,11,3,0,4,1,3,0,2,0,8,0,1,0,36,3,6,1,7,0,11,2,3,0,7,0,8,1,12,0,8,1,21,0,2,0,9,0,9,3,85,43,11,2,1,0,1,0,24,5,9,0,10,1,6,0,11,0,6,2,22,1,9,0,41,12,50,18,2,2,5,0,27,1,5,0,19,1,3,2,13,2,18,2,8,4,1374,352
TOTAL GROUP A,438,10,910,192,260,35,97,13,359,8,124,23,1949,382,449,35,5,1,460,58,32,4,337,58,252,33,578,12,242,14,510,37,226,19,531,17,34,1,140,3,4619,2924,92,15,102,0,837,87,135,7,218,10,171,36,163,38,2122,77,580,121,39,20,84,14,340,57,608,131,164,4,503,46,68,14,257,14,83,20,23,0,485,56,1270,379,4403,1305,834,86,5,0,297,45,699,251,3,0,259,39,183,37,62,6,460,1,1500,215,148,10,128,25,97,11,61,12,311,75,33,0,866,140,98,4,85,15,254,24,201,13,169,5,222,17,126,4,281,24,540,31,115,1,172,0,249,39,4395,902,560,58,29,2,70,8,1196,148,217,25,358,53,599,18,328,6,449,59,751,43,100,0,1159,174,1427,438,95,19,139,16,997,227,424,7,874,51,231,12,834,66,491,28,751,87,50231,9907
Bad Checks,66,0,268,0,36,0,49,0,0,1,0,0,2,0,30,0,0,0,87,0,7,0,25,0,3,0,214,0,41,0,74,0,19,0,226,0,1,0,98,0,198,2,7,0,12,0,6,0,14,0,6,0,8,1,73,0,55,0,104,0,0,0,0,0,264,0,138,0,44,0,4,0,2,0,10,0,0,0,0,0,23,0,24,0,38,0,35,0,0,0,20,0,21,0,0,0,50,0,0,0,30,0,29,0,68,0,0,0,127,0,7,0,4,0,20,0,0,0,186,0,5,0,4,0,13,0,52,0,53,0,3,0,1,0,71,0,81,0,18,0,48,0,1,0,37,0,102,0,5,0,22,0,39,1,21,0,138,0,59,0,28,0,86,0,47,0,8,0,96,0,179,0,3,0,1,0,1,0,68,0,41,1,41,0,109,0,89,0,24,0,4467,6
Curfew/Loitering/Vagrancy,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,318,0,0,0,0,0,0,0,0,0,0,0,0,20,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,76,0,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,10,38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,93,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,41,617
Disorderly Conduct,11,1,33,10,11,7,3,0,8,0,2,7,39,27,20,4,0,0,5,11,1,0,5,1,6,6,86,0,6,0,7,0,2,2,5,0,1,0,4,0,648,266,2,0,0,0,38,2,3,0,2,0,5,24,21,7,22,0,12,8,2,0,4,1,18,13,2,0,3,0,4,0,0,1,2,2,5,2,0,0,12,1,16,28,126,208,17,7,0,0,7,0,9,32,0,0,17,14,2,0,3,1,6,0,26,6,3,2,10,18,1,0,0,3,13,1,2,0,43,11,4,1,3,0,4,0,2,0,6,0,9,1,5,0,5,1,13,1,0,0,4,0,6,4,59,60,34,0,0,0,8,2,23,7,6,4,22,2,10,0,5,0,61,1,10,2,3,0,14,23,40,29,1,0,9,3,8,3,21,0,11,3,11,5,47,30,5,5,2,0,1832,921
Driving Under Influence,94,2,178,1,64,1,37,0,127,3,59,0,547,1,122,8,8,0,121,3,23,0,104,2,153,1,56,0,70,2,118,2,66,0,105,0,9,0,41,0,944,14,66,0,39,0,190,2,49,1,69,0,71,0,42,0,1634,3,208,3,33,1,45,1,228,4,172,1,46,1,112,1,51,1,43,0,65,3,33,0,152,2,226,8,1058,4,153,3,7,0,142,2,9,0,4,0,119,0,68,0,15,1,119,0,773,13,64,1,33,2,42,0,30,2,180,1,33,0,434,8,26,0,64,0,50,0,53,0,49,0,117,0,73,3,28,0,138,3,66,2,40,0,76,0,1227,9,106,1,28,1,22,0,114,2,113,2,293,6,64,0,57,0,136,2,154,2,51,2,261,0,562,6,27,1,93,0,180,4,106,3,116,5,71,2,364,5,213,0,192,1,15233,171
