Classification,Number of Offenses
Pocket-Picking,368
Purse-Snatching,348
Shoplifting,23136
Theft From Building,22014
Theft From Coin-Operated Machine,1114
Theft From Motor Vehicles,32553
Theft of Motor Vehicle Parts & Accessories,14600
All Other Larceny,62927
TOTAL,157060
