Location,Total Offenses
Air/Bus/Train Terminal,2
Bank/Savings and Loan,2
Bar/Night Club,2
Church/Synagogue/Temple,19
Commercial/Office Building,31
Construction Site,24
Convenience Store,6
Department/Discount Store,9
Drug Store/Doctor's Office/Hospital,5
Field/Woods,139
Government/Public Building,27
Grocery/Supermarket,6
Highway/Road/Alley,180
Hotel/Motel/Etc.,7
Jail/Prison,7
Lake/Waterway,6
Liquor Store,0
Parking Lot/Garage,125
Rental Storage Facility,15
Residence/Home,687
Restaurant,10
School/College,183
Service/Gas Station,3
Specialty Store,8
Other/Unknown,134
Total,1637
