Violent Crime Where Offender(s) Suspected of Using By Offense,,,
Suspected of Using,Alcohol,Computer Equipment,Drugs
Murder/Non-Negligent Manslaughter,14,0,6
Aggravated Assault,1313,8,181
Forcible Rape,223,0,67
Forcible Sodomy,49,10,15
Sexual Assault with an Object,27,1,6
Forcible Fondling,92,5,24
Robbery,179,3,83
Total,1897,27,382
