Colleges and Universities,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Christopher Newport University PD,,,178,0,0,3,0,0,2,12,0,0,0,90,0,0,1,0,4,54,15,0,1,0,0,0,0
Emory & Henry Campus Police,,,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Ferrum College Police,,,75,0,0,0,0,0,0,9,2,0,10,35,0,0,0,0,0,11,11,0,0,0,0,0,1
George Mason University PD,,,546,0,0,4,3,1,2,33,5,0,12,326,6,7,8,1,0,74,81,0,0,0,0,0,6
Hampton University PD,,,215,0,0,1,1,4,3,14,0,1,34,123,3,0,8,0,0,12,16,0,0,0,0,0,6
James Madison University PD,,,341,0,0,3,0,0,0,10,4,0,10,180,3,2,9,0,0,113,42,0,0,0,0,0,1
Longwood College PD,,,116,0,0,0,2,0,0,10,0,0,0,61,0,0,0,0,0,35,8,0,0,0,0,0,1
Mary Washington College PD ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk State University PD,,,429,0,0,1,3,14,9,25,9,0,125,148,9,1,2,0,0,83,7,0,0,0,0,0,4
N. Virginia Comm College PD,,,177,0,0,0,0,1,0,12,0,0,1,117,2,2,0,1,0,40,2,0,0,0,0,0,0
Old Dominion Campus PD,,,258,0,0,0,1,0,0,12,0,0,2,116,3,2,1,0,1,116,8,0,0,0,0,0,3
Radford University PD,,,189,0,0,1,1,0,3,21,3,0,2,67,1,1,8,0,1,68,24,0,0,0,0,0,0
Thomas Nelson Comm Col PD,,,40,0,0,0,0,0,1,6,0,0,1,23,0,1,1,1,0,6,0,0,0,0,0,0,0
University of Richmond PD,,,323,0,0,0,1,0,4,8,4,0,17,116,2,4,5,0,0,159,33,0,0,0,0,0,1
University of Virginia PD,,,504,0,0,5,1,0,3,58,4,1,9,286,5,4,14,2,0,122,14,0,1,0,0,0,1
UVA's College at Wise PD,,,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
VA Commonwealth University PD,,,832,1,1,3,7,10,17,59,2,0,12,518,13,11,14,0,2,59,121,0,0,0,1,0,37
Virginia Tech Police Department0,,,289,0,0,2,3,0,2,35,5,0,27,145,0,6,4,1,0,48,22,0,1,0,0,0,1
VA Western Comm. College PD,,,19,0,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0
VMI Post Police,,,28,0,0,1,0,0,0,5,0,0,1,19,0,0,0,0,0,3,0,0,0,0,0,0,0
Virginia State Univ. Police,,,205,0,0,0,0,1,3,27,0,0,3,120,1,1,2,0,2,51,10,0,0,1,0,0,4
William & Mary College PD,,,544,0,0,2,0,0,2,25,10,0,3,332,0,5,5,1,0,161,12,0,0,0,0,0,1
"0–11 For those agencies without full year submission, footnote represents number of months of data submitted ",,,,,,,,,,,,,,,,,,,,,,,,,,,
i Incomplete totals,,,,,,,,,,,,,,,,,,,,,,,,,,,
