Type of Assignment,Number Assaulted,Percent Distribution
Two-Man Vehicle,161,11.1
One-Man Vehicle,0,0
Alone,395,27.3
Assisted,477,32.9
Detective or Special Assignment,0,0
Alone,26,1.8
Assisted,33,2.3
Other Assignments,0,0
Alone,98,6.8
Assisted,259,17.9
