Date ,Offense ,Street ,Sub ,Zip ,Area
11/4/2003,RUNAWAY JUVENILE ,AUGUST DRIVE ,180,23696,200
12/4/2003,ABUSE AND NEGLECT OF CHILDREN ,BACK CREEK ROAD ,179,23696,200
7/15/2003,ANNOYING PHONE CALLS ,BACK CREEK ROAD ,179,23696,200
10/19/2003,ARSON ,BACK CREEK ROAD ,179,23696,200
1/22/2003,ATTEMPTED SUICIDE ,BACK CREEK ROAD ,179,23696,200
11/28/2003,CITIZEN REQUESTED ASSISTANCE ,BACK CREEK ROAD ,179,23696,200
11/30/2003,CITIZEN REQUESTED ASSISTANCE ,BACK CREEK ROAD ,179,23696,200
12/3/2003,CITIZEN REQUESTED ASSISTANCE ,BACK CREEK ROAD ,179,23696,200
12/3/2003,CITIZEN REQUESTED ASSISTANCE ,BACK CREEK ROAD ,179,23696,200
10/14/2003,CITIZEN REQUESTED ASSISTANCE ,BACK CREEK ROAD ,179,23696,200
5/31/2003,"DAMAGE PROPERTY, PRIVATE ",BACK CREEK ROAD ,179,23696,200
6/10/2003,"DAMAGE PROPERTY, PRIVATE ",BACK CREEK ROAD ,179,23696,200
6/20/2003,"DAMAGE PROPERTY, PRIVATE ",BACK CREEK ROAD ,179,23696,200
1/6/2003,"DAMAGE PROPERTY, PRIVATE ",BACK CREEK ROAD ,179,23696,200
1/13/2003,GRAND LARCENY ,BACK CREEK ROAD ,179,23696,200
10/18/2003,GRAND LARCENY ,BACK CREEK ROAD ,179,23696,200
9/8/2003,LOST PROPERTY ,BACK CREEK ROAD ,179,23696,200
11/26/2003,OBSCENE/THREATENING PHONE CALL ,BACK CREEK ROAD ,179,23696,200
10/16/2003,"BURGLARY, RESIDENTIAL ",BAY TREE BEACH ROAD ,179,23696,200
10/16/2003,GRAND LARCENY ,BAY TREE BEACH ROAD ,179,23696,200
3/27/2003,PETIT LARCENY ,BAY TREE BEACH ROAD ,179,23696,200
2/21/2003,CITIZEN REQUESTED ASSISTANCE ,BAYTREE BEACH ROAD ,179,23696,200
6/12/2003,BRANDISHING FIREARM ,BLANTON AVENUE ,179,23696,200
9/10/2003,CITIZEN REQUESTED ASSISTANCE ,BLANTON DRIVE ,179,23696,200
10/4/2003,GRAND LARCENY ,BLANTON DRIVE ,179,23696,200
1/16/2003,CITIZEN REQUESTED ASSISTANCE ,BRIGHTON CIRCLE ,193,23696,200
2/28/2003,POSSESSION OF MARIJUANA ,CHARLES CIRCLE ,58,23696,200
4/17/2003,ABUSE AND NEGLECT OF CHILDREN ,CHEADLE LOOP ROAD ,25,23696,200
4/16/2003,ANNOYING PHONE CALLS ,CHEADLE LOOP ROAD ,25,23696,200
6/24/2003,CITIZEN REQUESTED ASSISTANCE ,CHEADLE LOOP ROAD ,25,23696,200
8/16/2003,"DAMAGE PROPERTY, PRIVATE ",CHEADLE LOOP ROAD ,25,23696,200
10/10/2003,"DAMAGE PROPERTY, PRIVATE ",CHEADLE LOOP ROAD ,25,23696,200
11/14/2003,"DAMAGE PROPERTY, PRIVATE ",CHEADLE LOOP ROAD ,25,23696,200
2/3/2003,"DAMAGE PROPERTY, PRIVATE ",CHEADLE LOOP ROAD ,25,23696,200
6/1/2003,POSSESSION OF MARIJUANA ,CHEADLE LOOP ROAD ,25,23696,200
12/31/2003,POSSESSION OF MARIJUANA ,CHEADLE LOOP ROAD ,25,23696,200
1/22/2003,RUNAWAY JUVENILE ,CHEADLE LOOP ROAD ,25,23696,200
7/6/2003,RUNAWAY JUVENILE ,CHEADLE LOOP ROAD ,25,23696,200
7/13/2003,RUNAWAY JUVENILE ,CHEADLE LOOP ROAD ,25,23696,200
9/24/2003,RUNAWAY JUVENILE ,CHEADLE LOOP ROAD ,25,23696,200
11/4/2003,RUNAWAY JUVENILE ,CHEADLE LOOP ROAD ,25,23696,200
12/31/2003,RUNAWAY JUVENILE ,CHEADLE LOOP ROAD ,25,23696,200
4/16/2003,TRESPASSING ,CHEADLE LOOP ROAD ,25,23696,200
2/3/2003,UNAUTHORIZED USE OF VEHICLE ,CHEADLE LOOP ROAD ,25,23696,200
6/24/2003,"DAMAGE PROPERTY, PRIVATE ",CLUB WAY ,179,23696,200
6/2/2003,CITIZEN REQUESTED ASSISTANCE ,CREEK CIRCLE ,242,23696,200
2/20/2003,FALSELY SUMMONS OR FALSE REPORT TO POL ,CREEK CIRCLE,242,23696,200
2/2/2003,GRAND LARCENY ,CREEK CIRCLE ,242,23696,200
5/16/2003,VIOLATE PROTECTIVE ORDERS ,CREEK CIRCLE ,242,23696,200
9/16/2003,CITIZEN REQUESTED ASSISTANCE ,CREEK TERRACE ,242,23696,200
5/21/2003,"DAMAGE PROPERTY, PRIVATE ",CROCKETT ROAD ,58,23696,200
9/10/2003,DEAD ON ARRIVAL ,CROCKETT ROAD ,58,23696,200
12/9/2003,CITIZEN REQUESTED ASSISTANCE ,DAWSON CRESCENT ,247,23696,100
10/13/2003,"DAMAGE PROPERTY, PRIVATE ",DAWSON CRESCENT ,247,23696,100
1/26/2003,"ASSAULT, SIMPLE ",DAWSON DRIVE ,247,23696,200
10/2/2003,ATTEMPTED SUICIDE ,DAWSON DRIVE ,247,23696,200
11/30/2003,CITIZEN REQUESTED ASSISTANCE ,DAWSON DRIVE ,247,23696,200
11/15/2003,CONTRIBUTING TO THE DELINQUENCY OF A M,DAWSON DRIVE,247,23696,200
11/15/2003,CONTRIBUTING TO THE DELINQUENCY OF A M,DAWSON DRIVE,247,23696,200
1/26/2003,"DAMAGE PROPERTY, PRIVATE ",DAWSON DRIVE ,247,23696,200
11/15/2003,PURCHASE ALCOHOL FOR UNAUTHORIZED PE ,DAWSON DRIVE,247,23696,200
11/15/2003,RAPE ,DAWSON DRIVE ,247,23696,200
12/1/2003,CITIZEN REQUESTED ASSISTANCE ,DEALBA LANE ,179,23696,200
3/22/2003,"LARCENY,FROM MOTOR VEHICLE ",EARL STREET ,86,23696,200
8/1/2003,"LARCENY,FROM MOTOR VEHICLE ",ELLERSON COURT ,86,23696,200
10/15/2003,"DAMAGE PROPERTY, BUSINESS ",FOX LANE ,179,23696,200
8/5/2003,INDECENT EXPOSURE ,FOX LANE ,179,23696,200
3/30/2003,"LARCENY,FROM MOTOR VEHICLE ",FOX LANE ,179,23696,200
3/20/2003,"BURGLARY, BUSINESS ",GEORGE WASHINGTON MEMORIAL HIGHWAY ,,23696,200
3/20/2003,"DAMAGE PROPERTY, BUSINESS ",GEORGE WASHINGTON MEMORIAL HIGHWAY ,,23696,200
1/8/2003,DRIVING UNDER THE INFLUENCE OF ,GEORGE WASHINGTON MEMORIAL HIGHWAY ,,23696,100
