Arrests by Offense,Isle of Wight,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",9,0
Robbery,6,0
Aggravated Assault,11,0
Simple Assault/Intimidation,129,4
Arson,1,0
Extortion/Blackmail,0,0
Burglary,12,1
Larceny,41,0
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,2,0
Fraud,9,0
Embezzlement,5,0
Stolen Property,4,1
Vandalism,11,0
Drug/Narcotic Offenses,116,2
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,12,3
TOTAL GROUP A,369,11
Bad Checks,7,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,3,0
Driving Under Influence,103,0
Drunkenness,12,1
"Family Offenses, Nonforcible",4,0
Liquor Laws Violations,1,0
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,28,0
Conspiracy,0,0
All Other (except Traffic),167,2
TOTAL GROUP B,325,3
GRAND TOTAL,694,14
