Arrests by Offense,Prince William,
,Adult,Juvenile
Murder,8,0
Manslaughter,0,0
Kidnaping,83,7
"Sex Offenses, Forcible",72,40
Robbery,81,26
Aggravated Assault,169,29
Simple Assault/Intimidation,1727,374
Arson,9,2
Extortion/Blackmail,1,0
Burglary,81,41
Larceny,999,214
Motor Vehicle Theft,22,21
Counterfeiting/Forgery,116,5
Fraud,317,14
Embezzlement,83,6
Stolen Property,45,17
Vandalism,122,74
Drug/Narcotic Offenses,1620,205
"Sex Offenses, Nonforcible",10,2
Pornography,3,1
Gambling,0,0
Prostitution,33,0
Bribery,1,1
Weapon Law Violations,90,25
TOTAL GROUP A,5692,1104
Bad Checks,67,0
Curfew/Loitering/Vagrancy,5,327
Disorderly Conduct,176,78
Driving Under Influence,1916,10
Drunkenness,1089,39
"Family Offenses, Nonforcible",32,0
Liquor Laws Violations,319,106
Peeping Tom,0,0
Runaway,0,899
Trespass of Real Property,109,24
Conspiracy,0,0
All Other (except Traffic),2270,117
TOTAL GROUP B,5983,1600
GRAND TOTAL,11675,2704
