Arrests by Offense,Total Other,
,Adult,Juvenile
Murder,0,0
Manslaughter,1,0
Kidnaping,1,0
"Sex Offenses, Forcible",2,1
Robbery,5,2
Aggravated Assault,8,1
Simple Assault/Intimidation,105,4
Arson,0,0
Extortion/Blackmail,1,0
Burglary,11,0
Larceny,154,4
Motor Vehicle Theft,14,0
Counterfeiting/Forgery,144,4
Fraud,108,1
Embezzlement,20,0
Stolen Property,20,1
Vandalism,27,2
Drug/Narcotic Offenses,612,29
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,1,0
Weapon Law Violations,299,16
TOTAL GROUP A,1533,65
Bad Checks,9,0
Curfew/Loitering/Vagrancy,0,1
Disorderly Conduct,99,3
Driving Under Influence,537,2
Drunkenness,1125,3
"Family Offenses, Nonforcible",18,0
Liquor Laws Violations,2614,94
Peeping Tom,2,0
Runaway,0,1
Trespass of Real Property,985,22
Conspiracy,2,0
All Other (except Traffic),10178,153
TOTAL GROUP B,15569,279
GRAND TOTAL,17102,344
