Arrests by Offense,Salem,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,4,1
"Sex Offenses, Forcible",2,1
Robbery,3,3
Aggravated Assault,7,3
Simple Assault/Intimidation,169,40
Arson,0,1
Extortion/Blackmail,0,0
Burglary,25,1
Larceny,161,29
Motor Vehicle Theft,9,6
Counterfeiting/Forgery,20,0
Fraud,48,1
Embezzlement,11,0
Stolen Property,5,0
Vandalism,23,14
Drug/Narcotic Offenses,185,16
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,1,0
Bribery,0,0
Weapon Law Violations,18,2
TOTAL GROUP A,692,118
Bad Checks,14,1
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,50,8
Driving Under Influence,91,0
Drunkenness,205,3
"Family Offenses, Nonforcible",10,0
Liquor Laws Violations,21,6
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,30,10
Conspiracy,0,0
All Other (except Traffic),600,32
TOTAL GROUP B,1021,60
GRAND TOTAL,1713,178
