Arrests by Offense,Covington,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",3,0
Robbery,0,0
Aggravated Assault,2,1
Simple Assault/Intimidation,64,7
Arson,1,0
Extortion/Blackmail,0,0
Burglary,8,2
Larceny,31,4
Motor Vehicle Theft,3,0
Counterfeiting/Forgery,3,0
Fraud,4,0
Embezzlement,2,0
Stolen Property,0,0
Vandalism,10,2
Drug/Narcotic Offenses,52,1
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,1,0
TOTAL GROUP A,185,17
Bad Checks,0,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,3,1
Driving Under Influence,24,2
Drunkenness,34,0
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,15,4
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,10,1
Conspiracy,0,0
All Other (except Traffic),82,1
TOTAL GROUP B,169,9
GRAND TOTAL,354,26
