Arrests by Offense,Winchester,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,5,0
"Sex Offenses, Forcible",5,0
Robbery,2,1
Aggravated Assault,6,1
Simple Assault/Intimidation,257,18
Arson,1,0
Extortion/Blackmail,0,0
Burglary,17,1
Larceny,239,76
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,6,0
Fraud,21,2
Embezzlement,6,0
Stolen Property,5,1
Vandalism,20,4
Drug/Narcotic Offenses,313,8
"Sex Offenses, Nonforcible",1,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,22,3
TOTAL GROUP A,928,115
Bad Checks,7,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,25,1
Driving Under Influence,249,2
Drunkenness,260,0
"Family Offenses, Nonforcible",8,1
Liquor Laws Violations,71,15
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,27,0
Conspiracy,0,0
All Other (except Traffic),862,21
TOTAL GROUP B,1510,40
GRAND TOTAL,2438,155
