Arrests by Offense,Greene,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,3,0
"Sex Offenses, Forcible",4,0
Robbery,0,0
Aggravated Assault,24,2
Simple Assault/Intimidation,80,13
Arson,2,1
Extortion/Blackmail,0,0
Burglary,11,0
Larceny,35,2
Motor Vehicle Theft,3,0
Counterfeiting/Forgery,0,0
Fraud,8,0
Embezzlement,3,0
Stolen Property,0,0
Vandalism,3,2
Drug/Narcotic Offenses,33,1
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,8,0
TOTAL GROUP A,217,21
Bad Checks,1,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,21,5
Driving Under Influence,41,0
Drunkenness,50,1
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,6,3
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,31,1
Conspiracy,0,0
All Other (except Traffic),193,3
TOTAL GROUP B,343,13
GRAND TOTAL,560,34
