Arrests by Offense,Appomattox,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",1,0
Robbery,0,0
Aggravated Assault,5,1
Simple Assault/Intimidation,12,18
Arson,0,0
Extortion/Blackmail,0,0
Burglary,4,2
Larceny,12,2
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,4,0
Fraud,3,0
Embezzlement,1,0
Stolen Property,0,0
Vandalism,5,7
Drug/Narcotic Offenses,23,2
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,1,1
TOTAL GROUP A,73,33
Bad Checks,0,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,0,4
Driving Under Influence,39,0
Drunkenness,14,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,0,0
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,4,1
Conspiracy,0,0
All Other (except Traffic),22,2
TOTAL GROUP B,79,7
GRAND TOTAL,152,40
