Arrests by Offense,College/University,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",2,1
Robbery,5,2
Aggravated Assault,5,1
Simple Assault/Intimidation,85,3
Arson,0,0
Extortion/Blackmail,1,0
Burglary,11,0
Larceny,79,2
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,9,0
Fraud,11,0
Embezzlement,7,0
Stolen Property,14,1
Vandalism,19,0
Drug/Narcotic Offenses,304,3
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,12,1
TOTAL GROUP A,566,14
Bad Checks,1,0
Curfew/Loitering/Vagrancy,0,1
Disorderly Conduct,82,3
Driving Under Influence,332,0
Drunkenness,885,2
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,768,13
Peeping Tom,2,0
Runaway,0,1
Trespass of Real Property,194,1
Conspiracy,0,0
All Other (except Traffic),459,5
TOTAL GROUP B,2724,26
GRAND TOTAL,3290,40
