Arrests by Offense,York,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,9,1
"Sex Offenses, Forcible",9,4
Robbery,6,0
Aggravated Assault,15,3
Simple Assault/Intimidation,205,70
Arson,1,1
Extortion/Blackmail,0,0
Burglary,31,12
Larceny,242,52
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,6,0
Fraud,39,2
Embezzlement,39,0
Stolen Property,3,5
Vandalism,47,19
Drug/Narcotic Offenses,208,31
"Sex Offenses, Nonforcible",2,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,10,5
TOTAL GROUP A,873,205
Bad Checks,5,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,4,9
Driving Under Influence,145,2
Drunkenness,94,4
"Family Offenses, Nonforcible",12,0
Liquor Laws Violations,52,34
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,20,5
Conspiracy,0,0
All Other (except Traffic),51,13
TOTAL GROUP B,383,67
GRAND TOTAL,1256,272
