Arrests by Offense,Newport News,
,Adult,Juvenile
Murder,20,0
Manslaughter,0,0
Kidnaping,43,2
"Sex Offenses, Forcible",38,5
Robbery,74,21
Aggravated Assault,200,21
Simple Assault/Intimidation,1330,110
Arson,5,21
Extortion/Blackmail,2,1
Burglary,89,32
Larceny,629,283
Motor Vehicle Theft,8,0
Counterfeiting/Forgery,57,0
Fraud,79,2
Embezzlement,35,1
Stolen Property,60,8
Vandalism,65,26
Drug/Narcotic Offenses,1720,122
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,2,0
Prostitution,81,0
Bribery,1,0
Weapon Law Violations,132,17
TOTAL GROUP A,4671,672
Bad Checks,20,0
Curfew/Loitering/Vagrancy,1,0
Disorderly Conduct,62,2
Driving Under Influence,619,0
Drunkenness,856,1
"Family Offenses, Nonforcible",54,12
Liquor Laws Violations,39,18
Peeping Tom,0,0
Runaway,0,117
Trespass of Real Property,214,35
Conspiracy,0,0
All Other (except Traffic),1424,43
TOTAL GROUP B,3289,228
GRAND TOTAL,7960,900
