Arrests by Offense,Augusta,
,Adult,Juvenile
Murder,4,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",12,1
Robbery,3,0
Aggravated Assault,22,0
Simple Assault/Intimidation,112,1
Arson,0,0
Extortion/Blackmail,0,0
Burglary,37,0
Larceny,92,1
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,10,0
Fraud,30,0
Embezzlement,8,0
Stolen Property,9,0
Vandalism,13,0
Drug/Narcotic Offenses,113,3
"Sex Offenses, Nonforcible",5,0
Pornography,3,0
Gambling,0,0
Prostitution,1,0
Bribery,0,0
Weapon Law Violations,17,1
TOTAL GROUP A,495,7
Bad Checks,28,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,28,0
Driving Under Influence,176,2
Drunkenness,220,0
"Family Offenses, Nonforcible",9,0
Liquor Laws Violations,24,20
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,38,3
Conspiracy,0,0
All Other (except Traffic),686,19
TOTAL GROUP B,1209,44
GRAND TOTAL,1704,51
