Arrests by Offense,Powhatan,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,3,0
"Sex Offenses, Forcible",6,1
Robbery,0,0
Aggravated Assault,10,8
Simple Assault/Intimidation,67,11
Arson,0,0
Extortion/Blackmail,0,0
Burglary,16,17
Larceny,18,11
Motor Vehicle Theft,3,2
Counterfeiting/Forgery,1,0
Fraud,7,1
Embezzlement,3,0
Stolen Property,0,0
Vandalism,3,5
Drug/Narcotic Offenses,76,13
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,7,1
TOTAL GROUP A,221,70
Bad Checks,7,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,0,1
Driving Under Influence,80,0
Drunkenness,2,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,1,1
Peeping Tom,0,0
Runaway,0,3
Trespass of Real Property,5,1
Conspiracy,0,0
All Other (except Traffic),71,9
TOTAL GROUP B,166,15
GRAND TOTAL,387,85
