Statistics,Total
Stray Animals Picked Up,7333
Unwanted Animals Turned in by Owner,760
Animals Returned to Owner by Officer (via License tag identification or some means of identification),285
Animals Claimed by Owner,2054
Animals Adopted by Citizens,1113
Animal Cruelty Investigations,1928
Animal Bite Investigations,1620
Animals Euthanized,2018
