Name: “Table 1 of 1 on page 1 of 13”
Table: 1
""
Presentation to the
Senate Finance Committee
General Government Subcommittee:
Jail Funding in Virginia
"December 13, 2005"
Bruce W. Haynes
Executive Secretary
Compensation Board
