Communication Services,FY 2014,FY 2013,FY 2012
"Calls received (Police, Fire and Rescue)","24,131","25,758","36,573"
Escorts,221,237,261
Accidents Worked,1060,902,966
Assist Motorists,2130,2215,2367
Alarms Answered,1015,855,1044
First Aid (Police Response),2384,2513,2510
Fire Dept.(Police Respone),368,447,408
Total of Communication Services,"31,309","32,927","44,129"
