Age,Number,Percent Distribution
Under 10,197,0.06
10--12,2142,0.7
13--14,8337,2.72
15,7411,2.42
16,8909,2.91
17,9610,3.13
18,13675,4.46
19,15022,4.9
20,14161,4.62
21,13115,4.28
22,12197,3.98
23,11577,3.78
24,10579,3.45
25-29,42140,13.75
30-34,32079,10.46
35-39,30766,10.04
40-44,29613,9.66
45-49,21857,7.13
50-54,11977,3.91
55-59,5905,1.93
60-64,2658,0.87
65 & Over,2654,0.87
TOTAL,306581,100.03
