Location,Number of Offenses
Air/Bus/Train Terminal,478
Bank/Savings & Loan,540
Bar/Night Club,717
Church/Synagogue/Temple,693
Commercial/Office Building,4576
Construction Site,2675
Convenience Store,9048
Department/Discount Store,12353
Drug Store/Dr Office/Hospital,2012
Field/Woods,849
Government/Public Building,1221
Grocery/Supermarket,5201
Highway/Road/Alley,12923
Hotel/Motel/Etc.,1909
Jail/Penitentiary,58
Lake/Waterway,258
Liquor Store,276
Parking Lot/Garage,20417
Rental/Storage Facility,432
Residence/Home,46089
Restaurant,2773
School/College,6442
Service/Gas Station,9211
Specialty Store,4967
Other/Unknown,9920
TOTAL,156038
