COUNTY SHERIFFS & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Accomack County SO,31856,3744.97,1193,2,3,5,13,14,36,420,3,1,92,303,48,24,13,7,0,199,28,0,3,0,0,0,10
State Police,,,72,0,0,0,1,1,0,1,1,0,2,9,1,2,13,1,0,3,41,1,0,0,0,0,3
Alleghany County SO,12541,1523,191,0,0,0,1,0,3,39,1,0,22,47,5,2,7,1,2,56,21,0,0,0,0,0,10
State Police,,,73,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,67,0,0,0,0,0,1
Amelia County SO,12100,2363.63,286,1,1,4,8,0,4,109,0,0,23,66,10,15,10,1,0,43,24,0,1,0,0,0,9
State Police,,,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0
Amherst County SO,29679,2742.68,814,1,0,5,10,8,24,122,1,0,53,286,23,20,22,10,0,138,132,1,0,0,5,0,6
State Police,,,10,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,4,0,0,0,0,0,0
Appomattox County SO,13900,2316.54,322,1,3,1,5,2,4,63,2,0,24,81,11,16,52,1,1,39,37,1,1,0,0,0,10
State Police,,,10,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0
Augusta County SO,68900,2181.42,1503,6,9,6,29,12,57,268,7,0,139,511,39,119,126,35,1,286,129,3,1,0,0,0,45
State Police,,,95,0,0,3,0,0,0,2,2,0,1,3,1,0,0,0,0,0,81,0,3,0,0,0,4
Bath County SO,4900,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,,,18,0,0,0,3,0,0,0,0,0,0,5,0,1,0,0,0,0,10,0,0,0,0,0,1
Bedford County SO,63600,2811.32,1788,1,4,9,20,5,44,616,5,0,142,554,32,27,57,11,2,364,120,2,3,0,0,0,54
State Police,,,36,0,0,0,0,0,5,1,0,0,0,1,4,0,5,0,1,1,19,0,0,0,0,0,1
Bland County SO,7100,1394.36,99,0,0,0,0,0,0,23,1,0,18,50,4,2,0,0,0,30,4,0,0,0,0,0,0
State Police,,,34,0,0,1,0,0,2,1,0,0,2,19,0,0,1,0,0,0,9,0,1,0,0,0,1
Botetourt County SO,31800,3103.77,987,2,2,1,14,1,23,181,2,0,40,375,26,23,46,6,6,204,120,1,1,3,0,0,15
State Police,,,62,0,0,0,0,1,6,3,0,0,0,12,1,0,1,0,0,1,40,0,0,0,0,0,2
Brunswick County SO,17166,2318.53,398,2,2,2,4,1,15,62,2,0,63,124,21,3,12,2,4,121,27,1,2,0,0,0,9
State Police,,,56,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,49,0,0,0,0,0,4
Buchanan County SO,24278,3822.39,928,1,8,7,4,5,36,172,9,0,184,297,50,40,32,2,3,114,75,2,0,0,0,0,30
State Police,,,10,0,0,2,0,1,0,0,1,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0
Buckingham County SO,16200,2944.44,477,1,3,2,1,3,12,158,0,0,56,110,14,3,5,0,0,112,53,0,0,0,0,0,21
State Police,,,24,0,0,0,1,0,0,1,2,0,0,3,2,0,0,0,1,0,15,0,0,0,0,0,0
Campbell County SO,46690,4099.37,1914,0,13,13,38,7,49,623,14,0,160,566,61,54,77,7,0,336,88,6,5,0,2,0,38
State Police,,,36,0,0,0,0,0,1,5,0,0,1,9,2,0,2,0,0,1,19,0,1,0,0,0,1
Caroline County SO,23338,4190.59,978,1,4,13,13,4,78,196,6,1,41,309,10,16,46,5,0,152,160,0,6,0,1,0,31
State Police,,,43,0,0,1,0,0,1,0,0,0,0,4,2,0,1,0,0,1,33,0,0,0,0,0,0
Carroll County SO,26958,3650.12,984,1,7,4,7,6,30,258,4,0,137,239,35,49,58,0,5,187,102,2,0,1,0,0,35
State Police,,,86,0,0,0,1,0,1,2,0,0,0,20,9,3,1,0,0,5,47,0,0,0,0,0,2
Charles City County SO 0,6800,205.88,14,0,0,0,0,1,1,3,0,0,1,4,0,0,0,0,0,2,1,0,0,0,0,0,3
State Police,,,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Charlotte County SO,12700,1897.63,241,0,0,2,4,1,13,132,0,0,29,33,12,8,11,1,0,27,14,2,0,0,0,0,11
State Police,,,37,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,33,0,0,0,0,0,2
Clarke County SO,10790,4050.04,437,0,2,3,1,0,38,74,0,0,23,160,11,6,4,2,1,113,47,0,0,0,1,0,4
State Police,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
Craig County SO,5100,823.52,42,1,0,0,0,0,2,17,0,0,0,7,3,0,1,0,0,4,3,0,0,0,0,0,5
State Police,,,7,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
Culpeper County SO0,30130,2253.56,679,1,2,4,17,4,14,173,3,1,43,174,13,4,19,3,2,157,104,2,2,0,0,1,20
State Police,,,98,0,0,0,0,0,6,1,0,0,0,0,1,0,1,0,1,3,90,0,0,0,0,0,5
Cumberland County SO,9500,2221.05,211,2,4,1,1,0,10,72,1,0,30,41,10,4,1,0,0,38,18,1,0,0,0,0,8
State Police,,,7,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0
Dickenson County SO,14396,3751.04,540,4,2,2,6,1,16,144,7,0,82,189,5,5,6,0,6,82,30,7,0,0,0,0,10
State Police,,,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Dinwiddie County SO,25319,3282.12,831,5,1,2,8,14,15,52,1,0,55,437,31,21,33,3,2,130,107,0,0,0,0,0,12
State Police,,,49,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,47,0,0,0,0,0,1
Essex County SO,8156,2439.92,199,0,0,0,1,0,13,39,2,0,25,80,11,1,1,0,1,50,18,0,0,0,0,0,7
State Police,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Fauquier County SO,54605,3479.53,1900,1,7,13,32,5,49,389,10,0,97,544,38,23,98,16,3,525,201,1,1,0,0,0,39
State Police,,,99,0,0,0,0,0,3,2,0,0,0,14,0,2,6,0,2,1,71,0,0,0,0,0,2
Floyd County SO,14800,2236.48,331,0,0,1,4,0,8,61,3,0,32,129,11,11,10,1,1,68,20,0,1,0,0,0,5
State Police,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,0,2
Fluvanna County SO,24900,2835.34,706,0,2,6,9,1,15,237,3,0,53,163,15,19,17,2,0,149,76,0,2,0,0,0,27
State Police,,,12,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,9,0,0,0,0,0,0
Franklin County SO,45545,2500.82,1139,0,4,5,23,7,27,112,1,0,99,528,48,28,30,3,4,275,50,1,0,0,0,0,23
State Police,,,47,0,0,0,0,0,2,1,0,0,0,3,2,0,7,0,0,1,29,0,0,0,0,0,4
Frederick County SO,65300,3750.38,2449,0,15,22,47,8,38,646,5,1,203,922,105,45,81,8,1,628,105,2,2,0,3,0,53
State Police,,,151,0,0,0,0,0,1,3,0,0,0,11,4,1,2,0,0,5,128,0,0,0,0,0,5
Giles County SO,9583,5603.67,537,1,1,6,22,6,11,134,1,0,36,136,16,16,35,1,1,83,82,1,1,0,0,0,10
State Police,,,11,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,7,0,0,0,0,0,1
Gloucester County SO,35700,4050.42,1446,0,1,5,9,1,23,418,10,0,34,368,22,23,46,5,1,236,264,2,2,0,1,0,27
State Police,,,187,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,186,0,0,0,0,0,0
Goochland County SO,19300,1974.09,381,3,1,2,5,2,49,10,0,0,57,142,17,5,13,3,6,133,19,0,1,0,0,0,5
State Police,,,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
Grayson County SO,15090,2372.43,358,2,5,2,5,2,12,94,4,0,67,83,11,12,5,0,2,79,29,0,0,0,0,0,9
State Police,,,30,1,0,0,0,0,1,2,0,0,1,3,3,1,1,0,0,2,19,0,0,0,0,0,0
Greene County SO,16900,2556.21,432,1,3,0,1,0,14,111,3,0,23,119,10,8,10,1,0,88,52,2,0,0,0,0,11
State Police,,,31,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,2,21,0,0,0,0,0,2
Greensville County SO,12300,5317.07,654,1,3,1,7,4,30,152,0,0,58,231,11,17,9,0,0,108,44,0,0,0,1,0,12
State Police,,,19,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,1,14,0,0,0,0,0,0
Halifax County SO,27240,1846.54,503,0,0,4,3,5,8,78,5,0,86,146,15,6,10,4,0,80,49,0,0,0,0,0,10
State Police,,,37,0,0,0,0,0,2,0,0,0,0,5,3,0,4,0,0,2,21,0,1,0,0,0,0
Hanover County SO,88157,3060.44,2698,4,5,7,16,16,37,572,9,0,118,960,41,69,88,39,14,393,415,5,1,0,0,0,59
State Police,,,19,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,16,0,0,0,0,0,0
Henry County SO,55100,4542.64,2503,6,10,17,38,27,127,528,4,0,248,914,81,157,122,50,0,323,105,1,0,0,0,0,65
State Police,,,65,0,0,0,0,0,3,1,0,0,0,8,6,3,8,1,1,0,32,0,0,0,0,0,5
Highland County SO,2400,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,,,7,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,1
Isle of Wight County SO,25416,4457.82,1133,1,3,4,14,9,14,308,5,0,4,373,39,19,24,2,2,283,82,0,1,0,0,0,30
State Police,,,17,0,0,0,0,0,0,0,0,0,0,1,1,0,12,0,0,0,3,0,0,0,0,0,0
King & Queen County SO 0,6900,2420.28,167,1,1,1,2,0,7,29,2,0,12,34,2,2,4,0,0,24,56,0,0,0,0,0,5
State Police,,,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0
King George County SO,20000,5490,1098,0,8,14,24,2,15,305,0,1,49,410,18,34,46,1,5,210,105,0,0,0,0,0,28
State Police,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
King William County SO,11414,1489.39,170,0,1,0,0,0,5,69,0,0,17,32,5,3,0,0,3,13,41,0,0,0,0,0,7
State Police,,,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0
Lancaster County SO,10282,2032.67,209,1,1,3,1,1,0,45,0,0,33,85,5,2,4,0,0,62,3,0,0,0,0,0,2
State Police,,,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Lee County SO,22539,2080.83,469,2,1,5,0,6,7,121,0,0,74,189,12,5,2,0,1,38,39,0,0,0,0,0,1
State Police,,,36,0,0,0,0,0,0,0,5,0,0,7,8,0,3,0,0,4,11,0,0,0,0,0,0
Loudoun County SO,212151,3233.54,6860,5,14,36,51,47,84,1665,51,2,218,2591,199,101,585,68,25,1635,526,0,2,0,0,0,153
State Police,,,43,0,0,0,0,0,1,4,0,0,2,10,5,1,5,0,1,6,12,0,0,0,0,0,2
Louisa County SO,27223,3441.94,937,1,2,6,13,3,12,144,1,0,92,360,16,8,15,3,0,202,95,4,1,0,0,0,16
State Police,,,65,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,61,0,0,0,0,0,0
Lunenburg County SO,10012,1518.17,152,0,0,0,1,1,4,18,2,0,12,34,5,4,4,0,1,49,24,1,0,0,0,0,7
State Police,,,38,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,35,0,0,0,0,0,0
