Point of Entry/Exit During Motor Vehicle Theft,Entry,Exit
Front,184,99
Rear,40,17
Side,125,48
Attic,0,0
Vent/AC,7,0
Window,119,20
Door,444,306
Patio/Sliding Dr,1,1
Balcony/Fire Escape,0,0
Attached Garage,10,7
Wall,0,0
Vehicle,331,185
Floor,0,0
Roof/Skylight,2,0
Hidden Within,0,0
Other,65,43
Unknown,521,317
