Group B Offense Categories,Total,White,Black,American Indian/Alaskan Native,Asian/Pacific Islander
Bad Checks,6333,4450,1859,2,22
Curfew/Loitering/Vagrancy Violations,2819,1455,1338,1,25
Disorderly Conduct,6903,2982,3863,5,53
Driving Under the Influence,24849,19754,4735,47,313
Drunkenness,27541,20552,6774,51,164
"Family Offenses, Nonviolent",1439,600,829,10,
Liquor Law Violations,10413,8252,1970,15,176
Peeping Tom,76,54,22,,
Runaway,4492,2208,2234,5,45
Trespass of Real Property,8893,3815,5010,3,65
Conspiracy to Commit Group A Offense,136,112,24,,
Conspiracy to Commit Group B Offense,27,21,6,,
All Other Offenses,92157,50708,40747,71,631
Total Group B Arrests,186078,114963,69411,210,1494
