TOWNS,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Abingdon PD,7938,10405.64,826,1,3,4,11,3,9,121,0,0,36,318,23,73,30,9,2,91,137,0,0,0,0,0,9
Altavista PD,3366,8615.56,290,0,2,0,7,3,4,65,0,0,15,116,10,11,5,2,0,68,14,0,0,0,0,0,4
Amherst PD,2221,2791.53,62,0,0,0,0,0,4,7,0,0,7,23,1,1,1,1,0,14,8,0,0,0,0,0,0
Appalachia PD,1774,7328.07,130,0,2,0,3,0,0,54,0,0,0,34,2,0,0,0,1,24,12,0,0,0,0,0,0
Ashland PD,6943,7403.13,514,0,3,6,6,14,8,74,1,0,31,246,18,17,18,0,1,96,21,0,0,0,0,0,7
Berryville PD,3110,6398.71,199,0,0,1,2,2,7,28,1,0,20,73,1,4,11,0,1,52,12,0,0,0,0,0,3
Big Stone Gap PD,5833,5246.01,306,2,2,1,2,1,8,32,0,0,29,152,4,3,3,0,1,84,16,0,0,0,0,0,3
Blacksburg PD,39212,3549.93,1392,0,2,8,22,14,34,331,4,1,105,473,22,39,71,2,2,402,60,0,1,1,0,0,21
Blackstone PD,3592,8853,318,0,2,2,2,4,19,54,2,0,25,123,11,15,2,1,2,66,24,0,0,0,0,0,4
Bluefield PD,5030,7256.46,365,0,0,0,3,1,4,11,1,0,26,174,3,46,14,2,1,37,46,0,0,0,0,0,5
Bowling Green PD0,962,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
