Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Cities,,,,
Alexandria PD,313,264,49,122
Bedford PD,28,27,1,4
Bristol PD,57,49,8,20
Buena Vista PD,14,13,1,1
Charlottesville PD,111,100,11,27
Chesapeake PD,364,311,53,140
Clifton Forge PD,10,10,0,6
Colonial Heights PD,45,39,6,4
Covington PD,14,13,1,9
Danville PD,128,109,19,10
Emporia PD,25,24,1,10
Fairfax PD,65,60,5,14
Falls Church PD,29,22,7,14
Franklin PD,26,25,1,12
Fredericksburg PD,64,59,5,22
Galax PD,24,22,2,15
Hampton PD,270,230,40,106
Harrisonburg PD,80,76,4,13
Hopewell PD,47,45,2,19
Lexington PD,13,12,1,2
Lynchburg PD,135,123,12,79
Manassas PD,86,68,18,24
Manassas Park PD,24,21,3,8
Martinsville PD,53,50,3,6
Newport News PD,386,335,51,131
Norfolk PD,699,619,80,123
Norton PD,18,18,0,6
Petersburg PD,95,83,12,36
Poquoson PD,20,18,2,4
Portsmouth PD,242,214,28,92
Radford PD,35,31,4,14
Richmond PD,696,620,76,194
Roanoke PD,254,231,23,54
Salem PD,63,60,3,26
Staunton PD,49,45,4,11
Suffolk PD,171,141,30,42
Virginia Beach PD,786,686,100,165
Waynesboro PD,49,43,6,7
Williamsburg PD,33,28,5,14
Winchester PD,70,63,7,13
City Total,5691,5007,684,1619
