Day/Time,00:00-03:59,04:00-07:59,08:00-11:59,12:00-15:59,16:00-19:59,20:00-23:59,Unk
Monday,5701,3576,8546,9093,11188,8883,1815
Tuesday,5311,3191,8073,8689,11027,8723,1773
Wednesday,5218,3249,7745,8872,11099,9121,1611
Thursday,5410,3186,7566,8497,11140,8869,1616
Friday,6066,3370,8101,9752,13449,10602,1817
Saturday,7593,2600,7190,9305,10527,10589,1703
Sunday,7197,2312,5794,7724,8669,8491,1370
