Location,Total Offenses
Air/Bus/Train Terminal,0
Bank/Savings and Loan,0
Bar/Night Club,1
Church/Synagogue/Temple,18
Commercial/Office Building,27
Construction Site,28
Convenience Store,3
Department/Discount Store,8
Drug Store/Doctor’s Office/Hospital,9
Field/Woods,134
Government/Public Building,20
Grocery/Supermarket,10
Highway/Road/Alley,183
Hotel/Motel/Etc.,16
Jail/Prison,6
Lake/Waterway,2
Liquor Store,0
Parking Lot/Garage,100
Rental Storage Facility,9
Residence/Home,724
Restaurant,11
School/College,140
Service/Gas Station,3
Specialty Store,12
Other/Unknown,189
Total,1653
