Cities and State Police,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Alexandria PD,135200,5032.54,6804,3,19,23,7,199,238,1456,11,2,296,2633,396,82,385,82,98,1246,377,0,0,3,17,1,64
State Police,,,17,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,1,0,8,0,0,0,0,0,1
Bedford PD,6200,9564.51,593,1,4,1,11,8,14,158,0,0,16,148,3,26,21,2,2,84,125,0,0,0,0,0,23
State Police,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bristol PD,17400,11775.86,2049,2,3,8,32,16,63,476,4,0,108,652,40,171,105,15,5,415,135,5,0,0,0,0,26
State Police,,,8,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,2,0,0,0,0,0,0
Buena Vista PD,6500,2000,130,1,0,0,0,0,9,24,0,0,1,43,2,3,5,1,0,43,2,0,0,0,0,0,2
State Police,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Charlottesville PD,39900,10917.29,4356,2,20,35,31,75,199,975,11,2,272,1486,168,54,117,41,11,1171,343,1,0,0,1,0,54
State Police,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chesapeake PD,213400,7141.51,15240,14,127,51,184,300,757,4183,27,3,1394,6138,536,296,866,135,72,242,1404,7,9,2,14,1,359
State Police,,,39,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,34,0,1,0,0,0,2
Colonial Heights PD,17300,9456.64,1636,0,14,3,13,11,22,270,17,0,67,689,45,56,91,38,7,281,181,2,0,0,0,0,28
State Police,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
Covington PD,5800,6672.41,387,0,1,2,9,1,10,70,3,0,27,140,6,9,5,3,0,97,33,0,0,0,0,0,5
State Police,,,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1
Danville PD,46400,10836.2,5028,8,9,13,6,88,141,1165,13,0,323,1743,113,107,120,22,2,1052,421,6,1,2,6,0,108
State Police,,,11,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0
Emporia PD,5500,17818.18,980,0,1,7,3,17,30,222,2,0,52,385,16,48,24,8,3,209,60,0,0,2,1,0,16
State Police,,,102,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,98,0,0,0,0,0,0
Fairfax PD0,22700,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falls Church PD,10800,6277.77,678,0,5,2,4,12,9,102,9,0,35,251,37,7,40,3,1,151,65,0,0,2,0,0,10
State Police,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Franklin PD,8400,10678.57,897,0,2,2,7,27,23,249,0,0,42,244,20,38,6,5,2,232,72,1,0,0,0,0,32
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fredericksburg PD,21200,10693.39,2267,0,10,13,19,41,56,290,6,1,80,854,63,23,124,38,3,452,395,1,3,0,23,0,37
State Police,,,20,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,12,0,0,0,1,0,0
Galax PD10,6900,11101.44,766,0,3,8,7,4,29,170,1,0,34,265,14,48,33,0,3,124,105,0,0,0,0,0,16
State Police,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0
Hampton PD,145500,8126.46,11824,11,50,46,107,276,263,2054,50,0,852,3966,574,164,555,183,33,2662,1028,3,2,0,7,0,429
State Police,,,107,0,0,0,0,0,4,2,0,0,0,4,4,4,36,0,1,1,43,0,0,0,0,0,14
Harrisonburg PD,43500,6039.08,2627,2,22,14,20,35,47,399,5,4,193,904,46,63,156,28,15,832,321,1,1,0,1,0,65
State Police,,,159,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,4
Hopewell PD,22500,12871.11,2896,0,21,11,29,56,108,849,16,0,272,800,148,45,80,6,3,783,186,5,3,1,1,0,113
State Police,,,33,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,34,0,0,0,0,0,0
Lexington PD,7000,3385.71,237,0,0,0,1,5,2,38,1,0,15,82,6,2,6,1,0,81,21,0,0,0,0,0,6
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lynchburg PD,68000,8952.94,6088,6,34,24,63,75,156,1978,15,1,415,2047,175,89,219,28,27,1014,634,2,2,5,10,0,163
State Police,,,35,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,31,0,0,0,0,0,0
Manassas PD,36700,7752.04,2845,0,15,21,34,65,104,771,12,0,141,976,124,47,196,19,2,330,285,1,1,1,3,0,54
State Police,,,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Manassas Park PD,13100,3328.24,436,0,4,2,6,5,7,109,2,0,19,116,15,3,11,2,1,142,41,1,0,0,0,0,11
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinsville PD,14700,9489.79,1395,0,3,3,13,21,31,276,8,0,73,409,25,71,79,15,0,249,145,0,0,0,0,1,31
State Police,,,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0
Newport News PD,182200,11526.34,21001,20,116,102,149,546,788,5361,75,1,1444,6122,868,325,798,144,62,4074,2053,15,9,8,135,0,1023
State Police,,,67,0,0,0,0,0,4,0,0,0,0,1,1,1,22,1,0,3,33,0,0,0,0,0,5
Norfolk PD,235500,11189.38,26351,58,55,92,154,889,812,4280,43,1,1769,10186,1142,282,362,103,103,4823,1553,13,3,1,160,0,253
State Police,,,124,0,0,0,0,0,5,1,1,0,0,4,1,3,79,0,0,1,25,0,0,0,0,0,15
Norton PD,3900,9948.71,388,0,4,2,3,0,9,56,0,0,21,207,9,22,5,4,2,86,22,0,0,1,0,0,7
State Police,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Petersburg PD,31300,18683.7,5848,9,46,25,36,151,183,1026,25,0,816,1618,296,183,166,49,82,2196,340,1,2,0,3,0,164
State Police,,,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,44,0,0,0,0,0,0
Poquoson PD,11900,2932.77,349,0,1,0,0,0,4,61,1,0,21,131,9,8,5,0,1,84,43,1,0,0,0,0,12
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portsmouth PD,98800,12110.32,11965,22,138,40,34,367,497,3043,15,1,1058,3752,418,128,214,80,71,3094,1063,9,5,3,38,0,460
State Police,,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
Radford PD0,15500,9367.74,1452,0,6,10,9,8,31,342,9,0,99,362,32,49,55,2,7,274,287,4,0,0,0,1,29
State Police,,,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0
Richmond PD,193300,14318.67,27678,84,131,83,142,1207,1045,4720,83,3,2497,8293,2248,287,347,33,19,5108,2535,11,4,1,189,1,820
State Police,,,51,1,0,1,0,1,0,1,1,0,0,3,1,0,3,0,0,0,41,0,0,0,0,0,0
Roanoke PD,93600,15769.23,14760,17,56,55,68,229,610,3946,37,3,991,5047,450,216,389,84,14,2449,1326,6,3,1,119,1,323
State Police,,,45,0,0,0,0,0,0,0,1,0,0,1,1,4,17,0,0,0,19,0,0,0,1,0,1
Salem PD,25100,5872.5,1474,0,8,5,14,13,13,291,1,0,78,601,37,68,53,31,7,348,168,0,0,0,1,0,35
State Police,,,7,0,0,0,1,0,0,2,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0
Staunton PD,23100,7835.49,1810,1,4,3,3,13,35,377,5,0,100,545,42,155,120,18,12,371,164,0,2,0,0,0,43
State Police,,,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,1
Suffolk PD,77100,8686.12,6697,9,46,34,49,122,305,1890,43,0,444,2270,121,109,172,25,18,1339,437,1,2,0,2,1,228
State Police,,,8,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,4,0,0,0,0,0,1
Virginia Beach PD,435600,6706.61,29214,19,113,97,192,622,408,5847,116,2,2157,10414,766,325,1019,320,40,5186,2864,16,17,4,49,0,857
State Police,,,125,0,0,0,0,0,4,2,0,0,0,5,6,3,60,1,2,1,46,0,0,0,0,0,9
Waynesboro PD,20000,8465,1693,2,5,9,22,15,70,387,10,0,82,568,40,96,74,13,6,292,137,0,0,0,0,0,53
State Police,,,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
Williamsburg PD,13400,5082.08,681,1,4,3,5,13,6,152,0,1,27,266,24,10,18,7,0,105,102,2,0,0,0,0,18
State Police,,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
Winchester PD,25700,12610.89,3241,1,16,6,23,34,77,813,8,0,140,1209,65,61,130,59,34,612,589,3,2,0,7,0,60
State Police,,,111,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,109,0,0,0,0,0,3
