Date,Offense,Street,Subdivison,Zip,E.D.,City,Area
2/24/2002,MISSING PERSON,ABERFELDY WAY,203,23693,2,TABB,100
2/11/2002,PETIT LARCENY,ABERFELDY WAY,203,23693,2,TABB,100
4/28/2002,"DAMAGE PROPERTY, PRIVATE",ABERFELDY WAY,203,23693,2,TABB,100
8/8/2002,CITIZEN REQUESTED ASSISTANCE,AMELIA COURT,112,23693,2,TABB,100
9/10/2002,RUNAWAY JUVENILE,AMELIA COURT,112,23693,2,TABB,100
6/21/2002,CITIZEN REQUESTED ASSISTANCE,AMELIA COURT,112,23693,2,TABB,100
8/12/2002,"LARCENY,FROM MOTOR VEHICLE",AMERSHAM DRIVE,246,23693,5,TABB,100
4/4/2002,"DAMAGE PROPERTY, PRIVATE",AMERSHAM DRIVE,246,23693,5,TABB,100
9/22/2002,CITIZEN REQUESTED ASSISTANCE,AMERSHAM DRIVE,246,23693,5,TABB,100
7/5/2002,"MANUF, SALE, POSS CONTROL SUBS",AMERSHAM DRIVE,246,23693,5,TABB,100
5/9/2002,GRAND LARCENY,APPALOOSA DRIVE,246,23693,5,TABB,100
5/9/2002,OBSTRUCTING JUSTICE,APPALOOSA DRIVE,246,23693,5,TABB,100
5/2/2002,"ASSAULT, SIMPLE, DOMESTIC",ARABIAN CIRCLE,246,23693,5,TABB,100
9/19/2002,"LARCENY,FROM MOTOR VEHICLE",ARABIAN CIRCLE,246,23693,5,TABB,100
9/22/2002,MISSING PERSON,ARABIAN CIRCLE,246,23693,5,TABB,100
9/19/2002,CITIZEN REQUESTED ASSISTANCE,ARABIAN CIRCLE,246,23693,5,TABB,100
11/5/2002,"DAMAGE PROPERTY, PRIVATE",ATOKA TURN,174,23693,5,TABB,100
8/21/2002,CITIZEN REQUESTED ASSISTANCE,AUTUMN WAY,56,23693,5,TABB,100
6/19/2002,"LARCENY,FROM MOTOR VEHICLE",AUTUMN WAY,56,23693,5,TABB,100
1/1/2002,MISSING PERSON,AUTUMN WAY,56,23693,5,TABB,100
3/8/2002,"ASSAULT, AGGRAVATED, DOMESTIC",AUTUMN WAY,56,23693,5,TABB,100
5/1/2002,GRAND LARCENY,BARRINGTON LANE,4,23693,2,TABB,100
5/5/2002,"ASSAULT, SIMPLE",BAYBERRY LANE,184,23693,5,TABB,100
11/10/2002,DRUNK IN PUBLIC,BAYBERRY LANE,184,23693,5,TABB,100
4/7/2002,UNAUTHORIZED USE OF VEHICLE,BEECHWOOD LANE,184,23693,5,TABB,100
2/13/2002,"ASSAULT, SIMPLE, DOMESTIC",BEECHWOOD LANE,184,23693,5,TABB,100
7/1/2002,"LARCENY,FROM MOTOR VEHICLE",BELMONT CIRCLE,257,23693,2,TABB,100
8/1/2002,"DAMAGE PROPERTY, PRIVATE",BELMONT CIRCLE,257,23693,2,TABB,100
8/15/2002,CITIZEN REQUESTED ASSISTANCE,BELMONT CIRCLE,257,23693,2,TABB,100
4/1/2002,ANNOYING PHONE CALLS,BELMONT CIRCLE,257,23693,2,TABB,100
3/5/2002,"BURGLARY, RESIDENTIAL",BELMONT CIRCLE,257,23693,2,TABB,100
3/4/2002,ANNOYING PHONE CALLS,BELMONT CIRCLE,257,23693,2,TABB,100
3/24/2002,"DAMAGE PROPERTY, PRIVATE",BELMONT CIRCLE,257,23693,2,TABB,100
8/13/2002,"BURGLARY, RESIDENTIAL",BENNINGTON COURT,88,23693,2,TABB,100
4/30/2002,"MANUF, SALE, POSS CONTROL SUBS",BIG BETHEL & RT. 134,197,23693,2/4/2005,TABB,100
10/16/2002,"DRUGS, PWID MARIJUANA",BIG BETHEL & RT. 134,197,23693,2/4/2005,TABB,100
5/1/2002,"DAMAGE PROPERTY, PRIVATE",BIG BETHEL ROAD,197,23693,2/4/2005,TABB,100
