Arrests by Offense,Manassas,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",8,1
Robbery,12,7
Aggravated Assault,33,4
Simple Assault/Intimidation,168,11
Arson,0,0
Extortion/Blackmail,0,0
Burglary,7,5
Larceny,79,13
Motor Vehicle Theft,3,1
Counterfeiting/Forgery,11,0
Fraud,28,0
Embezzlement,10,0
Stolen Property,5,0
Vandalism,16,0
Drug/Narcotic Offenses,161,4
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,25,2
TOTAL GROUP A,572,48
Bad Checks,8,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,68,5
Driving Under Influence,145,0
Drunkenness,534,1
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,69,19
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,47,14
Conspiracy,0,0
All Other (except Traffic),355,37
TOTAL GROUP B,1227,76
GRAND TOTAL,1799,124
