Arrests by Offense,Newport News,
,Adult,Juvenile
Murder,18,2
Manslaughter,0,0
Kidnaping,16,3
"Sex Offenses, Forcible",34,25
Robbery,89,55
Aggravated Assault,188,42
Simple Assault/Intimidation,1300,278
Arson,8,15
Extortion/Blackmail,1,0
Burglary,147,138
Larceny,463,344
Motor Vehicle Theft,35,19
Counterfeiting/Forgery,65,5
Fraud,100,5
Embezzlement,31,9
Stolen Property,28,21
Vandalism,95,100
Drug/Narcotic Offenses,1802,252
"Sex Offenses, Nonforcible",2,0
Pornography,1,0
Gambling,1,4
Prostitution,88,0
Bribery,0,0
Weapon Law Violations,179,80
TOTAL GROUP A,4691,1397
Bad Checks,7,0
Curfew/Loitering/Vagrancy,5,275
Disorderly Conduct,58,21
Driving Under Influence,360,4
Drunkenness,931,4
"Family Offenses, Nonforcible",170,12
Liquor Laws Violations,26,54
Peeping Tom,3,0
Runaway,0,1130
Trespass of Real Property,191,196
Conspiracy,0,0
All Other (except Traffic),458,655
TOTAL GROUP B,2209,2351
GRAND TOTAL,6900,3748
