Arrests by Offense,Campbell ,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,9,0
"Sex Offenses, Forcible",10,2
Robbery,3,0
Aggravated Assault,27,0
Simple Assault/Intimidation,325,7
Arson,0,0
Extortion/Blackmail,0,0
Burglary,34,3
Larceny,101,3
Motor Vehicle Theft,3,3
Counterfeiting/Forgery,13,0
Fraud,20,0
Embezzlement,5,0
Stolen Property,2,0
Vandalism,36,1
Drug/Narcotic Offenses,63,3
"Sex Offenses, Nonforcible",3,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,21,0
TOTAL GROUP A,676,22
Bad Checks,152,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,13,1
Driving Under Influence,115,0
Drunkenness,98,0
"Family Offenses, Nonforcible",7,1
Liquor Laws Violations,5,0
Peeping Tom,0,0
Runaway,0,2
Trespass of Real Property,35,0
Conspiracy,2,0
All Other (except Traffic),538,0
TOTAL GROUP B,965,4
GRAND TOTAL,1641,26
