Arrests by Offense,Greensville,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",1,0
Robbery,1,0
Aggravated Assault,17,0
Simple Assault/Intimidation,48,3
Arson,0,0
Extortion/Blackmail,0,0
Burglary,13,2
Larceny,10,0
Motor Vehicle Theft,6,0
Counterfeiting/Forgery,2,0
Fraud,4,0
Embezzlement,0,0
Stolen Property,1,0
Vandalism,4,1
Drug/Narcotic Offenses,79,1
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,8,0
TOTAL GROUP A,195,7
Bad Checks,0,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,13,1
Driving Under Influence,58,0
Drunkenness,13,0
"Family Offenses, Nonforcible",6,0
Liquor Laws Violations,1,0
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,12,0
Conspiracy,2,0
All Other (except Traffic),28,0
TOTAL GROUP B,133,1
GRAND TOTAL,328,8
